ID,Language_ID,Language_name,Parameter_ID,Value,Transcription,Concept,Source,Comment,AlternativeValue,AlternativeTranscription
10-110-237-1,sout2866,Marquesan,765,e keu,Phonemic,move,dordillon1932;dordillon1931,,,
9-840-237-1,sout2866,Marquesan,1979,toki,Phonemic,chisel,dordillon1932;dordillon1931,,,
9-840-237-3,sout2866,Marquesan,1979,kiri,Phonemic,chisel,dordillon1932;dordillon1931,,,
9-840-237-5,sout2866,Marquesan,1979,nutupahi,Phonemic,chisel,dordillon1932;dordillon1931,,,
9-820-237-1,sout2866,Marquesan,914,tuhuka ketu,Phonemic,sculptor,dordillon1932;dordillon1931,,,
9-810-237-1,sout2866,Marquesan,228,ketu,Phonemic,carve,dordillon1932;dordillon1931,,,
9-790-237-1,sout2866,Marquesan,1971,tahií,Phonemic,fan (noun),dordillon1932;dordillon1931,,,
9-771-237-1,sout2866,Marquesan,292,maiki,Phonemic,rug,dordillon1932;dordillon1931,,,
9-771-237-3,sout2866,Marquesan,292,maií,Phonemic,rug,dordillon1932;dordillon1931,,,
9-771-237-5,sout2866,Marquesan,292,haií,Phonemic,rug,dordillon1932;dordillon1931,,,
9-771-237-7,sout2866,Marquesan,292,haiki,Phonemic,rug,dordillon1932;dordillon1931,,,
9-771-237-9,sout2866,Marquesan,292,moeka (moena),Phonemic,rug,dordillon1932;dordillon1931,,,
9-771-237-11,sout2866,Marquesan,292,faií,Phonemic,rug,dordillon1932;dordillon1931,,,
9-770-237-1,sout2866,Marquesan,195,moena,Phonemic,mat,dordillon1932;dordillon1931,,,
9-750-237-1,sout2866,Marquesan,1729,aáka,Phonemic,"weave, plait",dordillon1932;dordillon1931,,,
9-750-237-3,sout2866,Marquesan,1729,keana (éana),Phonemic,"weave, plait",dordillon1932;dordillon1931,,,
9-730-237-1,sout2866,Marquesan,1399,e épo,Phonemic,clay,dordillon1932;dordillon1931,,,
9-730-237-3,sout2866,Marquesan,1399,e one pahu,Phonemic,clay,dordillon1932;dordillon1931,,,
9-560-237-1,sout2866,Marquesan,1069,piípií,Phonemic,glue,dordillon1932;dordillon1931,,,
9-560-237-3,sout2866,Marquesan,1069,pipií,Phonemic,glue,dordillon1932;dordillon1931,,,
9-560-237-5,sout2866,Marquesan,1069,haátiá,Phonemic,glue,dordillon1932;dordillon1931,,,
9-560-237-7,sout2866,Marquesan,1069,e ao,Phonemic,glue,dordillon1932;dordillon1931,,,
9-560-237-9,sout2866,Marquesan,1069,e mau,Phonemic,glue,dordillon1932;dordillon1931,,,
9-560-237-11,sout2866,Marquesan,1069,e mau ia,Phonemic,glue,dordillon1932;dordillon1931,,,
9-560-237-13,sout2866,Marquesan,1069,epau,Phonemic,glue,dordillon1932;dordillon1931,,,
9-560-237-15,sout2866,Marquesan,1069,e mea pipíí,Phonemic,glue,dordillon1932;dordillon1931,,,
9-460-237-1,sout2866,Marquesan,1501,tiputa,Phonemic,bore,dordillon1932;dordillon1931,,,
9-460-237-3,sout2866,Marquesan,1501,hou,Phonemic,bore,dordillon1932;dordillon1931,,,
9-460-237-5,sout2866,Marquesan,1501,oka,Phonemic,bore,dordillon1932;dordillon1931,,,
9-460-237-7,sout2866,Marquesan,1501,tuí,Phonemic,bore,dordillon1932;dordillon1931,,,
9-440-237-1,sout2866,Marquesan,1840,e hakatu,Phonemic,build,dordillon1932;dordillon1931,,,
9-440-237-3,sout2866,Marquesan,1840,e ato,Phonemic,build,dordillon1932;dordillon1931,,,
9-440-237-5,sout2866,Marquesan,1840,e upe í te paépaé,Phonemic,build,dordillon1932;dordillon1931,,,
9-430-237-1,sout2866,Marquesan,1042,tuhuna ato faé,Phonemic,carpenter,dordillon1932;dordillon1931,,,
9-380-237-1,sout2866,Marquesan,245,hoe épo,Phonemic,broom,dordillon1932;dordillon1931,,,
9-380-237-3,sout2866,Marquesan,245,e tupe épo (e purumi),Phonemic,broom,dordillon1932;dordillon1931,,,
9-360-237-1,sout2866,Marquesan,1453,hoói,Phonemic,wash,dordillon1932;dordillon1931,,,
9-360-237-3,sout2866,Marquesan,1453,hoói me te vai,Phonemic,wash,dordillon1932;dordillon1931,,,
9-370-237-1,sout2866,Marquesan,230,e hoé í te épo,Phonemic,sweep,dordillon1932;dordillon1931,,,
9-370-237-3,sout2866,Marquesan,230,e purumi,Phonemic,sweep,dordillon1932;dordillon1931,,,
9-370-237-5,sout2866,Marquesan,230,e hoé,Phonemic,sweep,dordillon1932;dordillon1931,,,
