entry_id	trans_english	Slavonic_Old_Church_Phonemic
10.43	jump, leap	skočiti
10.431	kick	
10.44	dance	plęsati
10.45	walk	iti; choditi
10.451	limp	
10.46	run	tešti
10.47	go	iti; choditi
10.471	go up	
10.472	climb	
10.473	go down	
10.474	go out	
10.48	come	priti; gręsti
10.481	come back	
10.49	go away, depart	otiti; iziti
10.491	disappear	
10.51	flee	běžati
10.52	follow	vŭ slědŭ iti; po-slědovati
10.53	pursue	izgŭnati; goniti
10.55	reach, arrive	priti; prispěti
10.56	approach	približiti sę
10.57	enter	vŭniti
10.61	carry (bear)	nesti; nositi
10.612	carry-in-hand	
10.613	carry-on-shoulder	
10.614	carry-on-head	
10.615	carry-underarm	
10.62	bring	prinesti
10.63	send	(po-)sŭlati
10.64	lead (vb)	vesti
10.65	drive	gŭnati; goniti
10.66	ride	jachati; voziti sę
10.67	push, shove	
10.71	road	pątĭ; cěsta
10.72	path	stĭza; stĭdza
10.74	bridge	mostŭ
10.75	carriage, wagon, cart	kola; kolesa; vozŭ
10.76	wheel	kolo
10.77	axle	osĭ
10.78	yoke	igo; jarĭmŭ
10.81	ship	korabljĭ; ladĭji
10.83	boat	korabljĭ
10.831	canoe	
10.832	outrigger	
10.84	raft	
10.85	oar	veslo
10.851	paddle (noun)	
10.852	row (vb)	
10.86	rudder	krŭma; krŭmilo
10.87	mast	jadro
10.88	sail (noun)	jadrilo
10.89	anchor	kotŭka; ankura
10.91	harbor, port	pristanište
10.92	land (vb)	
11.11	have	iměti
11.12	own, possess	pritęžati; sŭtęžati
11.13	take	vŭzęti; bĭrati
11.14	seize, grasp	jęti; chvatiti
11.15	hold	drŭžati
11.16	get, obtain	polučiti
11.17	keep, retain	drŭžati
11.18	thing	veštĭ
11.21	give	dati
11.22	give back	vŭ-; vŭz-; otŭ-dati
11.24	preserve, look after	chraniti
11.25	save, rescue	sŭpasti
11.27	destroy	(po-; iz-)gubiti; razoriti
11.28	harm, injure, damage	vrěditi; otŭštetiti
11.31	seek, look for	iskati
11.32	find	obrěsti
11.33	lose	pogubiti
11.34	release, let go	(otŭ)pustiti; rěšiti
11.43	money	sĭrebro
11.44	coin	sklęzĭ
11.51	rich	bogatŭ
11.52	poor	ubogŭ; nebogŭ; ništĭ
11.53	beggar	ništĭ
11.54	avaricious, stingy	sŭrebroljubĭcĭ
11.61	lend	vŭ zajĭmŭ dajati
11.62	borrow	zajęti
11.63	owe	dlŭžĭnŭ byti
11.64	debt	dlŭgŭ
11.65	pay (vb)	vŭzdati
11.66	account, reckoning	slovo
11.69	tax, tribute	danĭ
11.77	hire	najęti
11.78	wages	mĭzda
11.79	earn	
11.81	buy	kupiti
11.82	sell	prodati
11.83	trade, barter	kuplją dějati
11.84	merchant	kupĭcĭ
11.85	market (place)	trŭgŭ; trŭžište; kuplja
11.86	store, shop	
11.87	price	cěna
11.88	dear (costly, expensive)	dragŭ
11.89	cheap	
11.91	share (distribute)	
11.92	weigh	
12.1	after	
12.11	behind	
12.2	beside	
12.3	down, below	
12.4	before	
12.41	front	
12.5	inside, in	
12.6	outside	
12.7	under	
12.8	up, above	
12.11	place	město
12.12	put	položiti; postaviti; klasti
12.13	sit	sěděti
12.14	lie down	ležati
12.15	stand	stojati
12.16	remain, stay	prěbyti; ostati
12.17	remains, left overs	ostati
12.21	collect, gather	sŭbĭrati
12.212	pick up	
12.213	pile up	
12.22	join, unite	sŭčetati
12.23	separate	(raz)ląčiti
12.232	divide	
12.24	open	otŭvrěsti; otvoriti
12.25	shut, close	zatvoriti; zaklenąti; (za)vrěti; (za)ključiti
12.26	cover	pokryti
12.27	hide, conceal	sŭkryti
12.31	high	vysokŭ
12.32	low	nizŭkŭ
12.33	top	vrŭchŭ
12.34	bottom	dŭno
12.35	end	konĭcĭ
12.352	pointed	
12.353	edge	ostrĭje; krajĭ; vŭskrilĭje
12.36	side	rebra; strana
12.37	middle, center	srěda
12.41	right (side)	desnŭ
12.42	left (side)	šujĭ; lěvŭ
12.43	near (adv)	blizĭ; blizŭ
12.44	far (adv)	daleče
12.45	east	vŭstokŭ
12.46	west	zapadŭ
12.47	north	sěverŭ
12.48	south	jugŭ
12.53	grow	rasti
12.54	measure	měriti
12.541	span, fathom	
12.55	large, big	velijĭ; velikŭ
12.56	small, little	malŭ; chudŭ
12.57	long	dlŭgŭ
12.58	tall	
12.59	short	kratŭkŭ
12.61	wide, broad	širokŭ
12.62	narrow	ązŭkŭ; těsnŭ
12.63	thick (in dimension)	debelŭ
12.65	thin (in dimension)	tĭnŭkŭ
12.67	deep	gląbokŭ
12.68	shallow	mělŭkŭ
12.71	flat	ploskŭ
