entry_id	trans_english	Colorado_Phonemic
11.44	coin	ka'la
11.51	rich	ʔoʰ'ko
11.52	poor	
11.53	beggar	[lemosi] kalaΦa-rimĩ
11.54	avaricious, stingy	ʔi'sa-ti-mĩ; ʔiʰsa-pũ
11.61	lend	'Φari-'kari-no
11.62	borrow	'Φari-no
11.63	owe	ne'lo-ra-no
11.64	debt	ne'lo
11.65	pay (vb)	
11.66	account, reckoning	
11.69	tax, tribute	
11.77	hire	
11.78	wages	
11.79	earn	
11.81	buy	'ka-no
11.82	sell	ʔoʰ'si-no
11.83	trade, barter	wa'lada-no
11.84	merchant	
11.85	market (place)	
11.86	store, shop	[ten'ta]
11.87	price	
11.88	dear (costly, expensive)	'miʰka
11.89	cheap	pe'le
11.91	share (distribute)	
11.92	weigh	
12.1	after	'wãˀbi; ʔina'le
12.11	behind	ˀbe'ne; ˀbe'nele
12.2	beside	-le; ke'lo-le
12.3	down, below	pele-c̷i; pe'le; pe'le-le
12.4	before	kaʰ'ke; kasa-'le; ka-c̷i
12.41	front	ka-le
12.5	inside, in	tẽpe
12.6	outside	ʔorac̷i
12.7	under	tẽpe
12.8	up, above	ha'mo
12.11	place	
12.12	put	po-no
12.13	sit	'c̷u-no; c̷uˀdi-no
12.14	lie down	c̷o-no; c̷o-'ˀdi-no
12.15	stand	ra-; wi'ru-ra-; wi'ru-ʔi-no
12.16	remain, stay	c̷u-no; pu'ra-ʔi-no
12.17	remains, left overs	puʰ'c̷u
12.21	collect, gather	ˀbo'lõ-kari-no; ˀbo'lõ-ʔi-no
12.212	pick up	ka-no
12.213	pile up	ˀdu-no; ˀdiʰ'ki
12.22	join, unite	tu'lã-no
12.23	separate	hoʰ'ke su'wa-no; hoʰ'ke-no
12.232	divide	kiʰc̷a'le-no
12.24	open	Φoro-'no; laʰ'si-no; laʰ'sa-rã
12.25	shut, close	ˀdo-no
12.26	cover	ˀdo-no-; ʔo-no; 'ʔo-kari-no
12.27	hide, conceal	c̷a-no; 'c̷a-kari-no
12.31	high	ha'mo
12.32	low	pe'le; to-ˀbi
12.33	top	ha'mo
12.34	bottom	pe'le; to-ˀbi
12.35	end	
12.352	pointed	li'li
12.353	edge	ˀdeʰke'lo ~ ˀdeki'lo
12.36	side	ʔiʰ'c̷ã ˀbeʰ'ko
