entry_id	trans_english	Chipaya_Phonemic
11.91	share (distribute)	toxš; toxtiš
11.92	weigh	yaxk-š
12.1	after	wiri; wiruɲ; wiruɲa
12.11	behind	wiri
12.2	beside	c̷ʰii [latu]
12.3	down, below	ḳoštan
12.4	before	tuki; tukita
12.41	front	yuxkkiš
12.5	inside, in	maxk-
12.6	outside	šanku
12.7	under	ḳoštan
12.8	up, above	c̷eeku; xuntuɲ
12.11	place	
12.12	put	non-š
12.13	sit	xulš
12.14	lie down	axpš
12.15	stand	apatatš; c̷ʰits-
12.16	remain, stay	ekliṣ̌
12.17	remains, left overs	č̣ʰet-či
12.21	collect, gather	axks; xuntiš
12.212	pick up	
12.213	pile up	
12.22	join, unite	c̷ʰiiḳaš c̷ʰis
12.23	separate	anaḳš
12.232	divide	lax̣miš
12.24	open	kʰet-
12.25	shut, close	čaxwk-
12.26	cover	pʰukš
12.27	hide, conceal	čʰox-š
12.31	high	c̷eeku
12.32	low	ḳoši
12.33	top	pʰurna
12.34	bottom	ḳoši
12.35	end	
12.352	pointed	puntučiš
12.353	edge	ata
12.36	side	ataran
12.37	middle, center	taypi; taypi-kiš
12.41	right (side)	ṣ̌ewa
12.42	left (side)	šḳara
12.43	near (adv)	xeeku
12.44	far (adv)	nakʰu
12.45	east	tuna; tuwanta
12.46	west	taxa
12.47	north	uṣ̌a; uṣ̌ačuk
12.48	south	waru
12.53	grow	paxḳ-š
12.54	measure	eḳš
12.541	span, fathom	
12.55	large, big	paḳʰi; nuk-ta
12.56	small, little	ḳolta; čʰuxt-u
12.57	long	laxč-a
12.58	tall	laxča; paḳxi
12.59	short	ḳolta; ḳoltalʸa
12.61	wide, broad	kara; kʰari
12.62	narrow	ṣ̌kʰuxku
12.63	thick (in dimension)	č̣oḳxa
12.65	thin (in dimension)	ḳooči
12.67	deep	ḳoši
12.68	shallow	šḳx̣ex̣si
12.71	flat	[lʸanu]
12.73	straight	sex̣wa
12.74	crooked	wexru; ṣ̌kakxu
12.75	hook	pirantura
12.76	corner	[iskina]
12.77	cross	[kuruša]
12.78	square	[iskina]tu
12.81	round	ḳˀoštu
12.82	circle	
12.83	sphere, ball	
12.84	line	piyara
12.85	hole	pʰeta
12.92	like, similar	irata; -šakaš
12.93	change	[kampii]
13.0	zero, nothing	anaš čʰulumi; akilʸo
13.1	one	c̷ʰii
13.2	two	piška
13.3	three	čʰep
13.4	four	paḳpik
13.5	five	pʰixsḳa
13.6	six	šoxta
13.7	seven	paḳalʸaku
13.8	eight	kinsaḳalku
13.9	nine	lʸa-tunka
13.10	ten	tunka
13.101	eleven	
13.102	twelve	
13.103	fifteen	
13.104	twenty	paa-tunka
13.105	hundred	pataka
13.106	thousand	waranka
13.107	count	
13.14	every, all	ḳʰutu; šapa
13.15	much, many	yuḳxu; yuxḳpača
13.16	more	iya
13.17	little (quantity), few	yačalʸa
13.18	enough	wak-š
13.181	some	c̷ʰii ḳʰaṣ̌
