entry_id	trans_english	Elamite_Phonemic
11.32	find	bakka-: ME ba-ak-qa-h (?)
11.33	lose	
11.34	release, let go	
11.43	money	
11.44	coin	
11.51	rich	NE sir
11.52	poor	
11.53	beggar	
11.54	avaricious, stingy	
11.61	lend	
11.62	borrow	
11.63	owe	
11.64	debt	NE a-h-da-a
11.65	pay (vb)	NE un-sa-ha; AchE un-sa-iš; AchE za-ag-gi-iš
11.66	account, reckoning	
11.69	tax, tribute	
11.77	hire	
11.78	wages	AchE te-um-be; NE, AchE ha-nu
11.79	earn	
11.81	buy	
11.82	sell	
11.83	trade, barter	
11.84	merchant	
11.85	market (place)	
11.86	store, shop	
11.87	price	AchE šá-ak-ki-me/-mi; šá-gi-me
11.88	dear (costly, expensive)	
11.89	cheap	
11.91	share (distribute)	
11.92	weigh	
12.1	after	
12.11	behind	AchE ki-ik; NE, AchE me-mi; AchE me-ni
12.2	beside	
12.3	down, below	
12.4	before	tibbe: ME, NE ti-ib-ba
12.41	front	ME, NE ti-ib-ba; OE si-ma; ME, NE si-ma
12.5	inside, in	OE a-ti-in; ME a-ti-ra; AchE ha-ti
12.6	outside	ME ki-du-ú-ya; ki-du-ur; ki-du-um-ma; AchE ki-du
12.7	under	NE, AchE šá-ra
12.8	up, above	
12.11	place	kate: ka-te; AchE qa-te, qa-te-ma
12.12	put	b/pela-: AchE be-la, be-ip-la; da-/ta-: ME ta-at, da-h
12.13	sit	
12.14	lie down	
12.15	stand	
12.16	remain, stay	
12.17	remains, left overs	
12.21	collect, gather	
12.212	pick up	
12.213	pile up	
12.22	join, unite	OE ta-r[í-ir]; ta-ri-ip
12.23	separate	
12.232	divide	
12.24	open	ME te-iš; ME, NE tu-um-ba-h
12.25	shut, close	kappa-: NE kap-pa-iš
12.26	cover	
12.27	hide, conceal	
12.31	high	
12.32	low	
12.33	top	
12.34	bottom	
12.35	end	
12.352	pointed	
12.353	edge	
12.36	side	
12.37	middle, center	
12.41	right (side)	
12.42	left (side)	
12.43	near (adv)	
12.44	far (adv)	AchE šá-da-ni-qa
12.45	east	NE ha-tin; ha-te-um-me
12.46	west	NE šu-tin
12.47	north	
12.48	south	
12.53	grow	
12.54	measure	
12.541	span, fathom	
12.55	large, big	(h)azza-: NE, AchE az-za-qa; AchE ha-iz-za-ik-qa, ha-za-qa; rša-: AchE ir-šá-(an-)na; ME ri-ša-ar
12.56	small, little	tila: AchE ti-la (?)
12.57	long	
12.58	tall	
12.59	short	
