entry_id	trans_english	Persian_Phonemic
10.252	catch (ball)	gir-kærdæn
10.26	shake	tækɑn-dɑdæn; ǰombɑnidæn
10.32	flow	ǰɑri-šodæn
10.33	sink	foru-ræftæn
10.34	float	
10.35	swim	šenɑ-kærdæn
10.351	dive	
10.352	splash	
10.36	sail (vb)	
10.37	fly (vb)	pærvɑz-kærdæn
10.38	blow	dæmidæn
10.41	creep, crawl	xæzidæn
10.412	kneel	čæhɑr-zanu nešæstæn
10.413	crouch	čombɑtæme-zædæn
10.42	slide, slip	sor-xordæn; lis xordæn; læqzidæn
10.43	jump, leap	ǰæstæn; pæridæn
10.431	kick	lægæd-zædæn
10.44	dance	[ræqs-]kærdæn
10.45	walk	rɑh-ræftæn
10.451	limp	
10.46	run	dævidæn
10.47	go	ræftæn/ ræv-
10.471	go up	bɑlɑ ræftæn
10.472	climb	
10.473	go down	foru ræftæn
10.474	go out	birun ræftæn
10.48	come	ɑmædæn/ ɑ-
10.481	come back	bær-gæštæn
10.49	go away, depart	
10.491	disappear	æz-beyn-ræftæn
10.51	flee	gorixtæn/ goriz-; færɑr-kærdæn
10.52	follow	
10.53	pursue	dombɑl-kærdæn
10.55	reach, arrive	ræsidæn; [vɑred]-šodæn
10.56	approach	næzdik-šodæn
10.57	enter	vɑred- dɑxel-šodæn; dær-amædæn
10.61	carry (bear)	bordæn
10.612	carry-in-hand	
10.613	carry-on-shoulder	
10.614	carry-on-head	
10.615	carry-underarm	bæqæl-kærdæn/ -daštæn
10.62	bring	ɑvordæn/ ɑvær-
10.63	send	ferestɑdæn
10.64	lead (vb)	[hedɑyæt]-kærdæn; ræhnæmɑ-kærdæn
10.65	drive	rɑndæn
10.66	ride	sævɑr-šodæn
10.67	push, shove	tekɑn-dɑdæn
10.71	road	rɑh
10.72	path	rɑh
10.74	bridge	pol
10.75	carriage, wagon, cart	gɑri
10.76	wheel	čærx
10.77	axle	mil, mile
10.78	yoke	yuq
10.81	ship	kešti; nɑv
10.83	boat	[qayeq]
10.831	canoe	
10.832	outrigger	
10.84	raft	
10.85	oar	pɑru
10.851	paddle (noun)	pɑru
10.852	row (vb)	pɑru-zædæn
10.86	rudder	sokkɑn-e-kešti
10.87	mast	dægæl
10.88	sail (noun)	bɑdbɑn
10.89	anchor	længær
10.91	harbor, port	bændær
10.92	land (vb)	
11.11	have	dɑštæn / dɑr-
11.12	own, possess	dɑštæn / dɑr-
