entry_id	trans_english	Nung-Lazhai_Phonemic
6.921	braid	ho.2 liŋ.4
6.93	razor	kjun.2
6.94	ointment	kjun.2 swi.1
6.95	soap	wa.5
6.96	mirror	ma:t.7
7.11	dwell, live	ha:i.2
7.12	house	ca:ŋ.6 ha:i.2
7.13	hut	ma:u.6
7.131	garden-house	sa:i.1 hɨ:t.7
7.14	tent	so:ŋ.2 fɨ:ŋ.2
7.15	yard, court	ci.3 pa.5 tuk.7 kjau.3
7.16	men's house	tai.6
7.17	cookhouse	lɨk.8 kat.7
7.18	meeting house	pe.6 cin.5
7.21	room	cwi.5 pa:u.3
7.22	door, gate	kon.6
7.221	doorpost, jamb	lɨk.8 hau.4
7.23	lock (noun)	lɨk.8 hau.4
7.231	latch, door-bolt	so:i.3
7.24	key	sa:i.1 ta:u.2 kjau.3; ci.3 pa.5 tuk.7 kjau.3
7.25	window	ma:i.1 daŋ.1
7.26	floor	ci.3 pa.5 ma:t.7 ha:n.6
7.27	wall	ci.3 pa.5 sɨ:i.5 na.3
7.31	fireplace	zo:i.1
7.32	stove	zo:i.1
7.33	chimney	swa:t.7
7.37	ladder	pi:n.4; me:ŋ.5
7.42	bed	mit.8 ti.5 ta:u.1; ti.5 ta:u.1
7.421	pillow	jau.6 ka:u.5; ńwe:n.3 ka:u.5
7.422	blanket	fai.4 ca:u.4
7.43	chair	kji:ŋ.5
7.44	table	jɨ.5
7.45	lamp, torch	za:n.2
7.46	candle	za:n.2 sai.5
7.47	shelf	li:ŋ.2 tiŋ.2; za:n.2 sai.5
7.48	trough	ci:ŋ.5 poŋ.2
7.51	roof	ju:n.5
7.52	thatch	za:n.2 ca:u.5; za:n.2 ta.3 zuŋ.1
7.53	ridgepole	za:n.2 ku.4 li.3 pa:i.4
7.54	rafter	za:n.2
7.55	beam	tu.1(i).7; tu.1 la:u.4
7.56	post, pole	sau.1 tu.1
7.57	board	luŋ.3 fi.2
7.58	arch	cwa:n.1 tu.1
7.61	mason	jak.7 fi.2
7.62	brick	co:ŋ.6 ta:ŋ.5
7.63	mortar	kja:ŋ.1 na:m.6
7.64	adobe	ci:ŋ.2
8.11	farmer	lu.2 ci:ŋ.2
8.12	field (for cultivation)	lu.2 fi.2
8.13	garden	co:ŋ.6 me:u.5
8.15	cultivate, till	lwai.1
8.16	fence	kjo:ŋ.2; bo:n.5
8.17	ditch	sɨ:i.2
8.21	plow	ta:m.3
8.212	furrow	taŋ.5 ji.3
8.22	dig	tai.2
8.23	spade	daŋ.1
8.24	shovel	la:p.8; la:p.8 cuk.7
8.25	hoe	kja.5
8.26	fork	ca:u.2
8.27	rake	don.1 za:n.2; teŋ.2 za:n.2; tiŋ.3 za:n.2
8.31	sow	cɨ.1 don.1 za:n.2
8.311	seed	ha.2 za:n.2
8.32	mow, reap	lu.2
8.33	sickle, scythe	tak.7 fwe:k.7
8.34	thresh	li:ŋ.2
8.35	threshing-floor	ka:n.6; to:ŋ.6
8.41	crop, harvest	pe:n.6
8.42	grain (barley, oats etc)	tu.1 kuŋ.3
8.43	wheat	ca:ŋ.6 zin.1
8.44	barley	cu:n.1
8.45	rye	wu:i.1 sa.1
8.46	oats	cu:n.1 se:ŋ.1
8.47	maize, corn	pu.4 ku.4 ho:ŋ.1
8.48	rice	na.2
8.51	grass	zwi.6; zi.6
8.52	hay	zwi.6 pjak.7; zi.6 pjak.7
8.53	plant (noun)	ta.3 kje:ŋ.1
8.531	plant (vb)	pja:u.6
8.54	root	mɨ:ŋ.1
8.55	branch	kjwai.1
8.56	leaf	wa:t.7; kwa:k.7
8.57	flower	ca:n.3
8.6	tree	ca:n.3; ca:n.4
8.61	oak	kwa:k.7
8.62	beech	pak.7 ŋa.1
8.63	birch	kja:i.6 kjiŋ.4; cwa.3
8.64	pine	wa:n.5 kje.6
8.65	fir	kje.6
8.66	acorn	kwe.3
8.67	vine	li:m.4
8.68	tobacco	fa:t.8 hau.4
8.69	smoke (tobacco)	tɨ:k.8 fa:t.8 hau.4
8.691	pipe	siu.1 ciŋ.2
8.72	tree stump	hau.4
8.73	tree trunk	mi:n.6
8.74	forked branch	me:k.8
8.75	bark	hau.4 jwa:ŋ.2
8.76	sap	ŋa:i.2 hau.4
8.81	palm tree	hau.4
8.82	coconut	hau.4 ha:u.1; hau.4 sa:n.4; kja.3
8.83	citrus fruit	zam.2; ze:p.8
8.84	banana tree	fɨ:ŋ.2
8.85	banyan	hau.4 wu:ŋ.3
8.91	sweet potato	ńɨ.3; zum.1; ha.2
8.912	yam	fɨ:ŋ.2 sa:u.3
8.92	tapioca, manioc, cassava	toŋ.2 ko.1
8.93	gourd	dam.1
8.931	pumpkin, squash	za:k.8
8.94	bamboo	da:ŋ.1 tai.4
