entry_id	trans_english	Cayapa_Phonemic
8.67	vine	'pih-'čuwa
8.68	tobacco	['taaku]
8.69	smoke (tobacco)	'taaku 'ɲi-'wihča
8.691	pipe	'ka'činba
8.72	tree stump	te 'buh-tʸu
8.73	tree trunk	či 'lura
8.74	forked branch	či 'pala
8.75	bark	'či-'kika
8.76	sap	'pi-lʸu
8.81	palm tree	
8.82	coconut	['kuku]
8.83	citrus fruit	['lemu]; ['lansa]
8.84	banana tree	'panda či
8.85	banyan	--
8.91	sweet potato	['ka'mute]
8.912	yam	
8.92	tapioca, manioc, cassava	'kuhču
8.93	gourd	'pi-'wayu
8.931	pumpkin, squash	ʔu
8.94	bamboo	'pahki
8.941	sugar cane	'ela
8.96	fish poison (root)	'lunbu-'tape
8.97	nettle	'ki-ɲi
8.98	mushroom	'kih'tʸutʸu
9.11	do, make	'ke-nu ~ 'ki-nu
9.12	work	['taawaš]-'ke-nu
9.14	bend	'berun-'tʸu-i-nu
9.15	fold	'dʸah'lʸi-nu; 'be'luʔ-'ka-nu
9.16	tie, bind	'tee-nu; 'te'le-nu; 'wii-'ke-nu
9.161	untie	'lan-'bu-nu
9.18	chain	['heru]-'čuwa
9.19	rope, cord	'kabu-'čuwa
9.192	knot (noun)	'tʸu-'puka; 'tee-'pu-nu
9.21	strike (hit, beat)	'wii-nu; 'wi'lʸi-nu
9.211	pound with fist	'ka'tʸa-či 'ke-nu
9.22	cut	'wan-nu; 'wane-'ke-nu
9.221	cut down	'tuu-nu
9.222	chop, hew	['ha'čaʔ]-'ke-nu
9.223	stab	'Φa'taa-'pu-nu
9.23	knife	['mašte]
9.24	scissors, shears	['tehas]
9.25	ax	['hača]
9.251	adze	['a'suela]
9.26	break	'dʸai-nu ~ 'dʸai-'ee-nu
9.261	broken	'dʸa-pe
9.27	split	'čii-nu; 'paa-nu
9.28	tear	'ki'yuu-'hi-nu
9.29	flay, skin	'beʔ-nu; 'be-'ke-nu
9.31	rub, wipe	'ɲii'ši-nu; 'man-'gih-nu
9.32	stretch	'čiʔ-nu; 'barun-'ge-nu
9.33	pull	'hui-'ka-nu; 'huʔ-li-nu
9.34	spread out	'ša'ha-'ra-ʔ-'c̷u-u-nu; 'la-'kaa-nu
9.341	hang up	'yan-'gaa-nu
9.342	press	'tʸui-nu
9.343	squeeze, wring	'čui-nu; 'ču'yi-nu
9.35	pour	'yuu-'pu-nu; 'yuu-nu
9.36	wash	'pi-'c̷aa-nu; 'man-bi-'c̷aa-nu
9.37	sweep	'kaš-nu
9.38	broom	'kahči-'pu-pu ~ 'kašči-'pu-pu
9.422	tool	['heru 'kusas]
9.43	carpenter	'či ['taa'waša] 'ke-mu
9.44	build	'ke-nu
9.46	bore	'huu-'ke-nu ~ 'huru-'ke-nu
9.461	hollow out	'pe-'laa-nu
9.48	saw	['se'ruču]
9.49	hammer	['maa'tilʸu]
9.5	nail	['ka'labus ~ 'kala'busu]
9.56	glue	'tʸa-'ka-nu; 'maiʔ'te-nu
9.6	smith, blacksmith	--
9.61	forge	--
9.62	anvil	--
9.63	cast (metals)	--
9.64	gold	['uru]
9.65	silver	
9.66	copper, bronze	
9.67	iron	['heru]
9.68	lead (noun)	['pu'luma]
9.69	tin, tinplate	--
9.71	potter	'pi-'yama 'ke-mu
9.72	mold (clay etc)	'beh-nu; 'ke-nu-'c̷u-mi 'muute
9.73	clay	'da'randu
9.74	glass	'le'meta
9.75	weave, plait	'c̷eh-nu
9.76	basket	'piš-'ka-lʸi ~ 'piš-'ka-li
9.77	mat	'tʸapu
9.771	rug	'te'reʔ 'nen-'c̷u-mi
9.78	netbag	
9.79	fan (noun)	'ɲi'wewe
9.791	fan (vb)	'heen-'bu-nu
9.81	carve	'wiš-'laa-nu
9.82	sculptor	či 'muute 'ke-mu
9.83	statue	'muute
9.84	chisel	--
9.88	paint (noun)	['pin'tura]
9.89	paint (vb)	'mun-'ge-nu
10.11	move	'hui-'ke-nu
10.12	turn over	'luʔ-'te-nu
10.13	turn around	'ya-'te-nu
