entry_id	trans_english	Embera_Phonemic
10.67	push, shove	tɨ'čamari-
10.71	road	o
10.72	path	o
10.74	bridge	
10.75	carriage, wagon, cart	
10.76	wheel	
10.77	axle	
10.78	yoke	
10.81	ship	--
10.83	boat	
10.831	canoe	hã'ba
10.832	outrigger	--
10.84	raft	
10.85	oar	
10.851	paddle (noun)	'do-wi
10.852	row (vb)	wi-
10.86	rudder	
10.87	mast	
10.88	sail (noun)	
10.89	anchor	
10.91	harbor, port	
10.92	land (vb)	
11.11	have	ero-
11.12	own, possess	ba'ra-
11.13	take	e'da-
11.14	seize, grasp	hi'ta-
11.15	hold	
11.16	get, obtain	e'da-
11.17	keep, retain	
11.18	thing	
11.21	give	de'a-
11.22	give back	
11.24	preserve, look after	a'kɨ-
11.25	save, rescue	
11.27	destroy	
11.28	harm, injure, damage	ã'rĩ-
11.31	seek, look for	hɨrɨ-
11.32	find	u'nu-
11.33	lose	adu'a-
11.34	release, let go	
11.43	money	[parata]; e'r̃ara
11.44	coin	
11.51	rich	
11.52	poor	
11.53	beggar	
11.54	avaricious, stingy	
11.61	lend	
11.62	borrow	[pres'ta-]
11.63	owe	
11.64	debt	
11.65	pay (vb)	[pa'ga-]
11.66	account, reckoning	
11.69	tax, tribute	
11.77	hire	
11.78	wages	
11.79	earn	[ga'na-]
11.81	buy	nẽdoi-
11.82	sell	nẽdo'we-
11.83	trade, barter	
11.84	merchant	
11.85	market (place)	
11.86	store, shop	
11.87	price	
11.88	dear (costly, expensive)	'nẽɓɨa
11.89	cheap	nee'na
11.91	share (distribute)	hu'e-
11.92	weigh	
12.1	after	tẽã
12.11	behind	tẽã; ã'bɨde
12.2	beside	
12.3	down, below	e'ɗa
12.4	before	nãẽ'ɗa
12.41	front	ki'rãpe
12.5	inside, in	'eɗa
12.6	outside	ãĩ
12.7	under	'edreka
12.8	up, above	ɨ̃'rɨ̃
12.11	place	ɓɨ-
12.12	put	ɓɨ-
12.13	sit	'čũɓɨ-
12.14	lie down	ɓa'r̃uɓari-
12.15	stand	pi'radrɨ-
12.16	remain, stay	ɓe-
12.17	remains, left overs	
12.21	collect, gather	
12.212	pick up	
12.213	pile up	
12.22	join, unite	
12.23	separate	
12.232	divide	
12.24	open	
12.25	shut, close	
12.26	cover	
12.27	hide, conceal	
12.31	high	
12.32	low	
12.33	top	bo'ro
12.34	bottom	ã'dau; ka'r̃a
12.35	end	
12.352	pointed	
12.353	edge	-i
12.36	side	o'r̃o
12.37	middle, center	arikẽdra
12.41	right (side)	hɨu'a-ara-ɗe
12.42	left (side)	hɨu'a-ɨ'kɨa-ɗe
12.43	near (adv)	'kaita
12.44	far (adv)	'mĩga; tɨ'mɨ
12.45	east	
12.46	west	
12.47	north	
12.48	south	
12.53	grow	oa'ri-
12.54	measure	za-
12.541	span, fathom	['brasa]
12.55	large, big	uai'ɓɨa
12.56	small, little	kai'be
12.57	long	deaso'roa
12.58	tall	
12.59	short	ĩ'čičia
12.61	wide, broad	ho'ɓɨa
12.62	narrow	čõ'da
12.63	thick (in dimension)	o'moa
12.65	thin (in dimension)	čõ'da
12.67	deep	'nãɓɨa
12.68	shallow	'nãɓɨa-ẽ
12.71	flat	
12.73	straight	hi'pa
12.74	crooked	
12.75	hook	dɨu'a
12.76	corner	
12.77	cross	[ku'ruso]
12.78	square	
12.81	round	boroko'koa
12.82	circle	
12.83	sphere, ball	
12.84	line	
12.85	hole	u'ria
12.92	like, similar	ki'rãka
12.93	change	
13.0	zero, nothing	ne'ẽa
13.1	one	'aɓa
13.2	two	u'me
13.3	three	ũ'bea
13.4	four	kĩ'mãrĩ
13.5	five	hueso'ma
13.6	six	
13.7	seven	
13.8	eight	
13.9	nine	
13.10	ten	
13.101	eleven	
13.102	twelve	
13.103	fifteen	
13.104	twenty	
13.105	hundred	
13.106	thousand	
13.107	count	
13.14	every, all	hu'ma
13.15	much, many	
13.16	more	ua
13.17	little (quantity), few	soka'raẽ
13.18	enough	
13.181	some	ɨ̃kɨ'rɨ
13.19	multitude, crowd	
13.21	full	
13.22	empty	
13.23	part, piece	
13.24	half	ẽ'sadra
13.33	alone, only	'duɓa
13.34	first	nã-be'ma
13.35	last	tẽã-be'ma
13.36	second	
13.37	pair	u'me
13.38	two times	ɓa'rima-u'me
13.42	third	
13.44	three times	ɓa'rima-ũ'bea
14.11	time	
14.12	age	
14.13	new	zhiwi'ɗi
14.14	young	o'ar̃a; kau
14.15	old	z'rõã
14.16	early	
14.17	late	
14.18	now	nae'na
14.19	immediately	ara'mãda
14.21	swift, fast, quick	'ɨbua
14.22	slow	bĩ'ka
14.23	hasten, hurry	
14.24	retard, delay	
14.25	begin, beginning	
14.252	last, endure	dã'rã
14.26	end (temporal)	
14.27	finish	ẽdrɨ-
14.28	cease, stop	
14.29	ready	
14.31	always	
14.32	often	
14.33	sometimes	
14.331	soon	
14.332	long-time (for a)	
14.34	never	
14.35	again	oa'ya
14.41	day	ã'sa
14.42	night	'deamasi
14.43	dawn	ɨ'nãdrɨ
14.44	morning	de'apeda
14.45	noon, midday	ɨ'matipa
14.451	afternoon	
14.46	evening	'kewara
14.47	today	'iɗi
14.48	tomorrow	nu
14.481	day-after-tomorrow	nu-rema
14.49	yesterday	nu-e'na
14.491	day-before-yesterday	nu-nue'na
14.51	hour	
14.53	clock, timepiece	
14.61	week	[domi'a]
14.62	Sunday	
14.63	Monday	
14.64	Tuesday	
14.65	Wednesday	
14.66	Thursday	
14.67	Friday	
14.68	Saturday	
14.71	month	he'ɗeko
14.73	year	po'a
14.74	winter	ku'e-hara
14.75	spring	
14.76	summer	po'a-hara
14.77	autumn	
14.78	season	
15.21	smell (vb intrans)	
