entry_id	trans_english	Dehong_Phonemic
	tɔt.8 pa.6 / ʔau.6 pa.6
	xem.1 met.9
	sa:i.1 met.9
	xe.1
	xaŋ.4 / so.6 pa.6
	jə.5 pa.6
	le.5 thən.5
	mu.2 sə.2
	jɨ.2
	jeŋ.2
	jɨ.2 pa:t.8
	tha:ŋ.1 lau.1
	ha:ŋ.3 tam.5
	ʔup.8 pa.6 te.5
	joŋ.5 ta.2 la.2
	phat.8 (mu.2)
	cɛt.8 pha:t.8
	kon.2 co.3 ka:u.5
	kon.2 sa:k.8 se.5
	te.5 fa.4
	te.5 la:t.8
	ka:u.5
	ca.4 ca:t.9
	mɔk.9 pha:t.8... mi.2 vot.8
	mɔk.9 pia.4... lɔt.8 vot.8
	mi.2 vot.8
	lɔt.8 vot.8 / ʔam.5 mi.2 vot.8
	poŋ.6 ta:m.5
	maɨ.1 so.1
	thɔŋ.5 / xɔk.8
	pɔŋ.6 lan.5
	su.3 kan.6
	tek.9 ja.4
	sɔt.9 fai.2 / pɔi.5 fai
	sak.8 se.5 pha:ŋ.2
	lak.8
	him.1
	pɨ.1 lak.8
	sa.5 san.5 la.5
	xun.1 sik.8 cia.2
	cɔŋ.2 je.6 su.6
	hoŋ.2 tham.2
	xəŋ.6 ta:ŋ.5 sa:k.8
	kiŋ.5 jo.2
	su.2 təŋ.5
	sa.5 la.5 je.6 su.6
	xam.4 xəŋ.5
	je.6 su.6 ho.2 pan.6 ta.2 la.2
	kɔp.8... su.2 təŋ.5
	tan.5
	kam.6 sin.1
	məŋ.2 li.2 pa:n.5
	məŋ.2 ŋa.6 la:i.2
	phi.1 pha:i.2
	ha:ŋ.6 su.5 ha:ŋ.6 xɔk.7
	ma:n.2 fa.3
	phu.5 mɛk.8 le.4; mo.1 mot.8
	lak.7 lɛm.1; phi.1 sa:ŋ.1
	xɔn.1 ŋau.2
	ʔa.6 mik.8 ca.4; ʔa.6 mik.8
