entry_id	trans_english	Thai_Dialect_Korat_Phonemic
9.223	stab	ti:.1 khau.3
9.23	knife	la:n.2
9.24	scissors, shears	khau.3
9.25	ax	met.4 khau.3
9.251	adze	khau.3 pho:t.4
9.26	break	khau.3 suk.5
9.261	broken	khau.3 pɨ:ak.3
9.27	split	khau.3 sa:n.1; met.4 khau.3
9.28	tear	lam.2
9.29	flay, skin	fa:ŋ.2
9.31	rub, wipe	kha:u.3 fa:ŋ.4
9.32	stretch	ja:.3
9.33	pull	fa:ŋ.2
9.34	spread out	pu:k.3
9.341	hang up	la:k.4
9.342	press	tɔ:.1 mai.4
9.343	squeeze, wring	kiŋ.3 mai.4
9.35	pour	bai.1 mai.4
9.36	wash	na:m.1
9.37	sweep	dɔ:k.3 mai.4
9.38	broom	ton.4 mai.4
9.422	tool	ton.4 son.1
9.43	carpenter	khɨ:a.1 ʔa.5 ŋun.3
9.44	build	ja:.1
9.46	bore	du:t.3 ja:.1; ja:.1 du:t.3
9.461	hollow out	kɔŋ.4 du:.3 tja:.1
9.48	saw	ma:k.3; bai.1 phu:.2
9.49	hammer	tɔ:.1 mai.4
