entry_id	trans_english	Romani_Phonemic
9.77	mat	[poniava]; [rogozina]
9.771	rug	[c̷olo]
9.78	netbag	[halevo]; [mraza]
9.79	fan (noun)	[feno ~ fano]
9.791	fan (vb)	[fen-i ~ faniv]
9.81	carve	[c̷oplisar-]
9.82	sculptor	[skulptori]; [skulptorka]
9.83	statue	[kʸipo]
9.84	chisel	[kopidi]
9.88	paint (noun)	[farba]
9.89	paint (vb)	[farbisar-]
10.11	move	c̷ird-pe
10.12	turn over	de-pe; muyal
10.13	turn around	ambold-; irin-
10.14	wind, wrap	[kʸid-]; [vuluisar-]
10.15	roll	[gevelisar-]
10.16	drop (vb)	perav-
10.17	twist	ambold-
10.21	rise	vazdinisav-; vazd-pe
10.22	raise, lift	vazd-
10.23	fall	per-
10.24	drip	[pitiar-]; [c̷ulʸ-]; [pic̷-]; tʰav de-
10.25	throw	šʸud-
10.252	catch (ball)	astar-; le-
10.26	shake	[drinc̷inisar-]; [kletenisar-]; [miskisar-]; [c̷inosar-]
10.32	flow	žʸa-
10.33	sink	[skezosav-]
10.34	float	[flodi-]; [plivi-pe]
10.35	swim	[notisar-]
10.351	dive	de-pe; de-prufundak
10.352	splash	[priskeisar-]
10.36	sail (vb)	žʸa-pe o pai
10.37	fly (vb)	hury-
10.38	blow	[pʰurd-]
10.41	creep, crawl	c̷ird-pe
10.412	kneel	de-čanga; per-pe čangende
10.413	crouch	beš-
10.42	slide, slip	[istr-]
10.43	jump, leap	xutʸ-
10.431	kick	de- ekʰ punro
10.44	dance	kʰel-
10.45	walk	pʰir-
10.451	limp	langa-
10.46	run	naš-; prast-
10.47	go	žʸa-
10.471	go up	žʸa- opre
10.472	climb	ankel-
10.473	go down	de-pe tele
10.474	go out	žʸa- avri
10.48	come	av-
10.481	come back	av- palpale
10.49	go away, depart	žʸa- tar
10.491	disappear	xasav-
10.51	flee	naš-
10.52	follow	žʸa pala; av pala
10.53	pursue	[gonisar-]
10.55	reach, arrive	ares-
10.56	approach	pašuv-
10.57	enter	žʸa-andre
10.61	carry (bear)	anger-
10.612	carry-in-hand	anger- ~ inger- ~ ninger-; pʰir-av
10.613	carry-on-shoulder	--
10.614	carry-on-head	--
10.615	carry-underarm	--
10.62	bring	an-
10.63	send	bičav-; trad-
10.64	lead (vb)	pʰirav-; anger- ~ inger- ~ ninger-
10.65	drive	trad-
10.66	ride	trad-
10.67	push, shove	spid-
10.71	road	[drom]
10.72	path	[vurma]
10.74	bridge	pʰurt
10.75	carriage, wagon, cart	vurdon
10.76	wheel	[roata]
10.77	axle	[vosia]
10.78	yoke	[bravnic̷a]; [koromisla]
10.81	ship	bero; [ladžia]; [paraxodo]
10.83	boat	c̷uno
10.831	canoe	--
10.832	outrigger	--
10.84	raft	[pluto]
10.85	oar	[visla]
10.851	paddle (noun)	[vislic̷a]; [lopata]
10.852	row (vb)	[vislisar-]
10.86	rudder	[rata]
10.87	mast	[stilbo]
10.88	sail (noun)	[poroso]
10.89	anchor	[kručoko]
10.91	harbor, port	[luka]; [molo]
10.92	land (vb)	ares- la pʰuvate
11.11	have	tʰer-; si man
11.12	own, possess	si man
11.13	take	le-
11.14	seize, grasp	astar-; xutil-
11.15	hold	anker-
11.16	get, obtain	le-
11.17	keep, retain	anker-
11.18	thing	[treabo]; buči ~ buti; šey
11.21	give	de-
11.22	give back	de- palpale
11.24	preserve, look after	arakʰ-
11.25	save, rescue	[skepisar-]; arakʰ-
11.27	destroy	[rimosar-]; [prepedisar-]
11.28	harm, injure, damage	dukʰav-
11.31	seek, look for	rod-
11.32	find	arakʰ-
11.33	lose	[xasar-]; našav-
11.34	release, let go	mek-
11.43	money	love
11.44	coin	lov; [para]; [žilto]
11.51	rich	barvalo
11.52	poor	čoʀo
11.53	beggar	[korovec̷o]
11.54	avaricious, stingy	xandžuvalo
11.61	lend	de-[vužʸile]
11.62	borrow	le-[vužʸile]
11.63	owe	av- [vužʸile]
11.64	debt	[vužʸilimos]
11.65	pay (vb)	pokin-
11.66	account, reckoning	pokinimos
11.69	tax, tribute	[porc̷ia]
11.77	hire	--
11.78	wages	[sumazi]
11.79	earn	ker (love); le-
11.81	buy	kin-
11.82	sell	bikin-
11.83	trade, barter	[šefto]
11.84	merchant	[šeftari]
11.85	market (place)	[bazari]; [piac̷o]
11.86	store, shop	[dukʸano]
11.87	price	pokindimos; [prec̷ʸo]
11.88	dear (costly, expensive)	kuč
11.89	cheap	[lezni]
