entry_id	trans_english	Sui_Phonemic
9.43	carpenter	kam.4 son.1
9.44	build	qok.7; cət.8
9.46	bore	ću.5 (v.n.)
9.461	hollow out	ʔnon.5 (v.); cui.2 śət.7 (n.)
9.48	saw	tjeŋ.1
9.49	hammer	nam.3 ća:u.3
9.5	nail	ha:ŋ.6 śət.7
9.56	glue	ljan.1 śət.7
9.6	smith, blacksmith	na:n.4 śət.7
9.61	forge	ʔjau.5
9.62	anvil	ćum.1
9.63	cast (metals)	ńan.2
9.64	gold	toŋ.2
9.65	silver	śət.7
9.66	copper, bronze	ćha:n.2
9.67	iron	śek.7
