entry_id	trans_english	Karok_Phonemic
6.39	dye	- -
6.41	cloak	βá̄s
6.411	poncho	- -
6.42	woman's dress	yáfus
6.43	coat	kútrahar
6.44	shirt	βōnβánāč
6.45	collar	- -
6.46	skirt	sárukhar
6.461	grass-skirt	- -
6.48	trousers	pó̄r
6.49	stocking, sock	- -
6.51	shoe	yukúkuh
6.52	boot	- -
6.54	shoemaker, cobbler	- -
6.55	hat, cap	ʔápxān
6.57	belt, girdle	síčakβutβar
6.58	glove	tikakβárār
6.59	veil	- -
6.61	pocket	- -
6.62	button	- -
6.63	pin	[pī́n]
6.71	ornament, adornment	- -
6.72	jewel	- -
6.73	ring (for finger)	tikakβánāč
6.74	bracelet	paθput
6.75	necklace	ʔī́kiβ
6.76	bead	ʔúruhsas
6.77	earring	tê̄nβa
6.78	headband, headdress	ʔiyruh
6.79	tattoo	θúkinha
6.81	handkerchief, rag	ʔipčimákakananač
6.82	towel	- -
6.91	comb	ʔiptaxatíhar
6.92	brush	- -
6.921	braid	ʔiptaxap
6.93	razor	- -
6.94	ointment	- -
6.95	soap	piθxáhar
6.96	mirror	pimustihβá̄nar
7.11	dwell, live	-ʔikriβ
7.12	house	ʔiiβ-; ʔikríβrām
7.13	hut	- -
7.131	garden-house	- -
7.14	tent	makayβasēkríβrām
7.15	yard, court	- -
7.16	men's house	ʔikmaháčrām
7.17	cookhouse	- -
7.18	meeting house	- -
7.21	room	- -
7.22	door, gate	čiβčaksurúrām
7.221	doorpost, jamb	- -
7.23	lock (noun)	ʔasáxβuh
7.231	latch, door-bolt	- -
7.24	key	[kî̄har]
7.25	window	pimustihβá̄nar
7.26	floor	ʔî̄riš
7.27	wall	- -
7.31	fireplace	ʔahíram
7.32	stove	pimkúhar
7.33	chimney	ʔahikyá̄rām
7.37	ladder	βurá̄kir
7.42	bed	ʔasimβáram
7.421	pillow	patúmkir
7.422	blanket	βá̄s
7.43	chair	ʔikríβkir
7.44	table	ʔamkir
7.45	lamp, torch	ʔá̄h
7.46	candle	ʔaxβâ̄har
7.47	shelf	- -
7.48	trough	- -
7.51	roof	ʔiβʔáβahkam
7.52	thatch	- -
7.53	ridgepole	ʔēnákir
7.54	rafter	- -
7.55	beam	kuríhkir
7.56	post, pole	tá̄skar
7.57	board	ʔé̄n
7.58	arch	- -
7.61	mason	- -
7.62	brick	- -
7.63	mortar	- -
7.64	adobe	- -
8.11	farmer	- -
8.12	field (for cultivation)	- -
8.13	garden	ʔuhθām
8.15	cultivate, till	-ʔuhθá̄mha
8.16	fence	tas
8.17	ditch	- -
8.21	plow	ikyútrih
8.212	furrow	- -
8.22	dig	-ʔírip
8.23	spade	- -
8.24	shovel	tanukyá̄nar
8.25	hoe	- -
8.26	fork	- -
8.27	rake	- -
8.31	sow	-ʔuhθá̄mha
8.311	seed	ʔúhiš
8.32	mow, reap	- -
8.33	sickle, scythe	- -
8.34	thresh	- -
8.35	threshing-floor	- -
8.41	crop, harvest	- -
8.42	grain (barley, oats etc)	ʔikráβapuh
8.43	wheat	- -
8.44	barley	- -
8.45	rye	- -
8.46	oats	- -
8.47	maize, corn	[kó̄n]
8.48	rice	βakaytunβê̄čas
8.51	grass	píriš
8.52	hay	- -
8.53	plant (noun)	- -
8.531	plant (vb)	- -
8.54	root	-ʔuhθá̄mha
8.55	branch	ʔáptīk
8.56	leaf	sá̄n
8.57	flower	ʔiθríha
8.6	tree	-ʔiip; ʔípaha
8.61	oak	xunyé̄p
8.62	beech	- -
8.63	birch	- -
8.64	pine	ʔišβírip
8.65	fir	ʔiθárip
8.66	acorn	xuntápan
8.67	vine	- -
8.68	tobacco	ʔú̄h; ʔihê̄raha
8.69	smoke (tobacco)	-ʔihê̄r
8.691	pipe	ʔuhrām
8.72	tree stump	- -
8.73	tree trunk	- -
8.74	forked branch	- -
8.75	bark	má̄n
8.76	sap	- -
8.81	palm tree	- -
8.82	coconut	- -
8.83	citrus fruit	- -
8.84	banana tree	- -
8.85	banyan	- -
8.91	sweet potato	- -
