entry_id	trans_english	Southern_Kam_Phonemic
9.261	broken	qa.33 mâi.31
9.27	split	pa.53
9.28	tear	sun.55
9.29	flay, skin	wa.35
9.31	rub, wipe	mâi.31
9.32	stretch	mâi.31 pek.31
9.33	pull	mâi.31 pe.212 fa.212
9.34	spread out	mâi.31 soŋ.212
9.341	hang up	joŋ.453 ńâk.55
9.342	press	ćau.55
9.343	squeeze, wring	jin.55
9.35	pour	ćan.55; jin.55
9.36	wash	toŋ.212 jin.55
9.37	sweep	lâk.55
9.38	broom	ćiu.212 mâi.31
9.422	tool	qa.33
9.43	carpenter	pi.212 mâi.31
9.44	build	nâm.31 mâi.31
9.46	bore	mâi.31 qau.212
9.461	hollow out	ljiu.212
9.48	saw	mâi.31 pjhak.13
9.49	hammer	pjhak.13
9.5	nail	mâi.31 ljoŋ.212
9.56	glue	mân.212
9.6	smith, blacksmith	jak.323
9.61	forge	mân.212 mâi.31
9.62	anvil	hu.212 lu.35
9.63	cast (metals)	toŋ.35 kwa.55
9.64	gold	ćau.55 pak.31
9.65	silver	naŋ.212
9.66	copper, bronze	pân.55
9.67	iron	mâi.31 taŋ.212
9.68	lead (noun)	lau.55
9.69	tin, tinplate	qa.212
9.71	potter	we.31
9.72	mold (clay etc)	we.31 qoŋ.55
9.73	clay	ćoŋ.53
9.74	glass	ćip.31
9.75	weave, plait	suk.31
9.76	basket	soŋ.53
9.77	mat	ljiu.33
9.771	rug	lam.33
9.78	netbag	ćit.323
9.79	fan (noun)	qeu.35; mok.212
9.791	fan (vb)	nâp.212
9.81	carve	sit.323; qân.53
9.82	sculptor	tât.55 wen.35
9.83	statue	tât.55 tu.53
9.84	chisel	ńok.323
9.88	paint (noun)	mja.31
9.89	paint (vb)	mjiu.212
10.11	move	kwan.55
10.12	turn over	siu.53
10.13	turn around	tâk.55
10.14	wind, wrap	la.53
10.15	roll	la.53
10.16	drop (vb)	jak.323
10.17	twist	moi.55 pi.212
10.21	rise	no.212
10.22	raise, lift	mat.323
10.23	fall	jo.323
10.24	drip	kai.212; khən.453
10.25	throw	khən.453 pai.55
10.252	catch (ball)	jo.323 ʔuk.323; qei.35
10.26	shake	ćiu.53
10.32	flow	ćâp.212; nân.323
10.33	sink	jât.55; mit.55
10.34	float	jiu.53 (nâm.31) to.323 (kwau.323)
10.35	swim	ćuk.323
10.351	dive	sət.55
10.352	splash	kwaŋ.55 sət.55
10.36	sail (vb)	ći.33 tu.33
10.37	fly (vb)	śaŋ.33 mâi.31
10.38	blow	ćim.55
10.41	creep, crawl	tun.35 ta.33; ńak.212 ta.33
10.412	kneel	lâu.55
10.413	crouch	qân.53
10.42	slide, slip	qui.53
10.43	jump, leap	ćiŋ.55
10.431	kick	nâm.31 kau.33
10.44	dance	śaŋ.33 kwat.35
10.45	walk	ljiŋ.53 kwat.35
10.451	limp	niŋ.33 kwat.35
10.46	run	sau.33
10.47	go	ćəm.55
10.471	go up	ńân.212
10.472	climb	toŋ.212
10.473	go down	kwat.35
10.474	go out	jon.212
10.48	come	sik.323
10.481	come back	śaŋ.33 ʔoŋ.53
10.49	go away, depart	we.31 mu.212
10.491	disappear	nam.33
10.51	flee	po.33 lji.212
10.52	follow	san.55
10.53	pursue	lan.212
10.55	reach, arrive	śen.53
10.56	approach	min.33
10.57	enter	tâi.33
10.61	carry (bear)	wai.212
10.612	carry-in-hand	wai.212
10.613	carry-on-shoulder	ćeu.55
10.614	carry-on-head	śaŋ.33 ćen.55
10.615	carry-underarm	ćeu.55 jaŋ.453
10.62	bring	siu.453
10.63	send	thət.35
10.64	lead (vb)	ćha.453 thət.35
10.65	drive	nâi.35
10.66	ride	pjha.13
10.67	push, shove	qon.33; qon.33 śon.53
10.71	road	peu.55
10.72	path	ćon.53
10.74	bridge	tok.55
10.75	carriage, wagon, cart	ćon.53; qon.33; kwan.35 ćoŋ.53
10.76	wheel	taŋ.53 ćan.212
10.77	axle	ʔun.55 ćən.212
10.78	yoke	tok.55
10.81	ship	lət.35
10.83	boat	peŋ.53
10.831	canoe	peŋ.53; liu.55
10.832	outrigger	ńâm.55; sip.323
10.84	raft	jeu.212
10.85	oar	qui.35
10.851	paddle (noun)	jâm.55
10.852	row (vb)	wet.323 nâm.31 mak.323 (nâm.31 lau.31)
10.86	rudder	qui.35 nâm.31
10.87	mast	wai.212 nâm.31
10.88	sail (noun)	ńap.35 nâm.31
10.89	anchor	phok.35 nâm.31
10.91	harbor, port	ćham.35 hâi.323
10.92	land (vb)	pən.323
11.11	have	śui.55
11.12	own, possess	pa.212
11.13	take	ćok.212
11.14	seize, grasp	jâu.55; jâu.55 pəp.212
