entry_id	trans_english	Maca_Phonemic
5.121	cooked	uyaχ
5.122	raw	niteʔ uyaχ
5.123	ripe	-uxiʔ
5.124	green, unripe	mente -uxiʔ
5.125	rotten	ɬoḳˀoḳxiʔ
5.13	drink	-iyaʔ
5.14	hunger	-yipkuʔ (m.)
5.141	famine	-yipku-n
5.15	thirst	-isɬayex (m.)
5.16	suck	-tufix ~ -ɬufix
5.18	chew	-atanxikii
5.181	swallow	-timxuʔ ~ -ɬimxuʔ
5.19	choke	
5.21	cook	-ḳatxatey; -enixiʔ
5.22	boil (vb)	-ixunhetix
5.23	roast, fry	-osxey
5.24	bake	
5.25	oven	-oχpˀonhetxii (f.)
5.26	pot, cooking vessel	atxat (m.)
5.27	kettle	
5.28	pan	atxat (m.)
5.31	dish	
5.32	plate	tokˀo (m.); pˀiyakaʔ (f.)
5.33	bowl	tokˀo-kiʔ (f.)
5.34	pitcher, jug	eɬini (f.)
5.35	cup, drinking vessel	tekfii (m.)
5.36	saucer	tokˀo-ɬas
5.37	spoon	nenek (f.)
5.38	knife	-ḳac̷xikinetkiʔ (f.)
5.39	fork	c̷eyem (f.)
5.391	tongs	
5.41	meal (a)	
5.42	breakfast	--
5.43	lunch	--
5.44	dinner	--
5.45	supper	--
5.46	peel	-ax-teʔ
5.47	sieve, strain	-uketxiʔ
5.48	scrape	-osxaʔ (?)
5.49	stir, mix	-ec̷xiɬkinix
5.51	bread	
5.53	dough	
5.54	knead	-eteḳetxiʔ; -olthitxiʔ
5.55	meal, flour	foʔxiʔ
5.56	crush, grind	-aḳatˀetxuʔ
5.57	mill	
5.58	mortar	naḳfinet-xii (f.)
5.59	pestle	naḳfinet (m.)
5.61	meat	ɬʔesen (m.)
5.63	sausage	
5.64	soup, broth	ḳˀi (m.)
5.65	vegetables	
5.66	bean	anheyuk (f.); anheyaχ (f.); anheyiweyic̷ (f.)
5.7	potato	peχeyetaχ (f.)
5.71	fruit	ɬeʔ (f.)
5.712	bunch	
5.75	fig	--
5.76	grape	--
5.77	nut	
5.78	olive	--
5.79	oil	
5.791	grease, fat	-uxeʔ (m.)
5.81	salt	witlepinek (m.)
5.82	pepper	atic̷ (f.)
5.821	chili pepper	atic̷ (f.)
5.84	honey	-aḳ (m.)
5.85	sugar	ɬeḳepinuʔ (m.)
5.86	milk (noun)	ɬeḳeɬʔiʔ (m.)
5.87	milk (vb)	-(e)ḳesuxaχ
5.88	cheese	--
5.89	butter	--
5.9	beverage, drink	
5.91	mead	--
5.92	wine	--
5.93	beer	--
5.94	fermented drink	n-iya-c̷ik (m.)
5.97	egg	ɬihiʔ (f.)
5.971	egg yolk	ɬaḳˀa-maxa-x (m.)
6.11	put on (clothes)	-ḳhina-tay
6.12	clothing, clothes	-ḳhina-wat (f.)
6.13	tailor	--
6.21	cloth	penyiloʔ (m.)
6.22	wool	ɬewkuxux (m.)
6.23	linen, flax	--
6.24	cotton	notekeniɬ (m.)
6.25	silk	--
6.27	felt	--
6.28	fur	ɬʔax (m.)
6.29	leather	ɬʔax (m.)
6.31	spin	-aftiɬ
6.32	spindle	-aftiɬin-et (m.)
6.33	weave	-iihin
6.34	loom	
6.35	sew	-tiɬ
6.36	needle	towxenaχ (f.)
6.37	awl	
6.38	thread	-itunenki
6.39	dye	-ukinxuʔ
6.41	cloak	
6.411	poncho	lasxixuʔ (m.)
6.42	woman's dress	xufufuf (f.)
6.43	coat	-intaafit (m.) ~ -entaafit
6.44	shirt	-wihitxii (m.)
6.45	collar	
6.46	skirt	-wikimkˀi (f.)
6.461	grass-skirt	-fetiɬ (f.)
6.48	trousers	-tatkaluhut (m.)
6.49	stocking, sock	--
6.51	shoe	-ḳekˀeweʔ (f.); -ḳekˀeweykiʔ
6.52	boot	--
6.54	shoemaker, cobbler	--
6.55	hat, cap	-itxoxiikiʔ ~ -otxoxiikiʔ (f.)
6.57	belt, girdle	-ḳeluc̷aχ (m.)
6.58	glove	--
6.59	veil	--
6.61	pocket	-iɬkukiʔ ~ -eɬkukiʔ (f.)
6.62	button	-oχto (f.)
6.63	pin	kapxiʔ (f.)
6.71	ornament, adornment	
6.72	jewel	--
6.73	ring (for finger)	-yaḳsiʔ (f.)
6.74	bracelet	-palaʔ (m.)
6.75	necklace	-etilaʔ (m.)
6.76	bead	esixiyiniɬ (m. pl)
6.77	earring	-ilasxiʔ (f.)
6.78	headband, headdress	-sifinhet (m.); -sufinhet (m.)
6.79	tattoo	wextuʔ
6.81	handkerchief, rag	-inxeyiwoʔ (m.)
6.82	towel	--
6.91	comb	-tenesit (m.)
6.92	brush	
6.921	braid	-iftii; -iftiihin
6.93	razor	--
6.94	ointment	
6.95	soap	-lixinet (m.)
6.96	mirror	-xeɬinetxii (f.)
7.11	dwell, live	-(i)n-xi-kii
7.12	house	-ic̷iʔ ~ -ec̷iʔ (f.)
7.13	hut	
7.131	garden-house	
7.14	tent	--
7.15	yard, court	--
7.16	men's house	--
7.17	cookhouse	--
7.18	meeting house	--
7.21	room	--
7.22	door, gate	ɬ-exiʔ (m.)
7.221	doorpost, jamb	
7.23	lock (noun)	ɬexinxeʔ (f.)
7.231	latch, door-bolt	--
7.24	key	ɬ-exinxeʔ (f.)
7.25	window	ɬ-exi-ɬas
7.26	floor	--
