entry_id	trans_english	Haida_Northern_Phonemic
9.341	hang up	kˀyáataa
9.342	press	
9.343	squeeze, wring	
9.35	pour	-kʰwaayaaŋ; -wustaa
9.36	wash	tˀánskat
9.37	sweep	hlkˀyáawtaal
9.38	broom	hlkˀyáawtaalw
9.422	tool	istáaw
9.43	carpenter	
9.44	build	
9.46	bore	
9.461	hollow out	
9.48	saw	ˁxiʔíitˀuu
9.49	hammer	tlˀahl
9.5	nail	čatˀuwáa; saŋíin
9.56	glue	
9.6	smith, blacksmith	
9.61	forge	
9.62	anvil	
9.63	cast (metals)	
9.64	gold	kúul
9.65	silver	
9.66	copper, bronze	xáal
9.67	iron	yaʔáačˀ
9.68	lead (noun)	ḳˀáas ḳˀačˀáa
9.69	tin, tinplate	ˁkatlˀačʰáaw
9.71	potter	
9.72	mold (clay etc)	
9.73	clay	
9.74	glass	
9.75	weave, plait	
9.76	basket	ḳʰikʰw
9.77	mat	lakúus
9.771	rug	tˀakyaʔáaŋw
9.78	netbag	
9.79	fan (noun)	
9.791	fan (vb)	
9.81	carve	
9.82	sculptor	
9.83	statue	
9.84	chisel	
9.88	paint (noun)	kˀutlán; kˀutláanw
9.89	paint (vb)	
10.11	move	-hlaa; ˁxashlkáŋ; -taal; -slaa
10.12	turn over	-čʰuuhltaa; -čʰuuláaŋ
10.13	turn around	stíihl
10.14	wind, wrap	
10.15	roll	-wunaŋ; ˁkaawnáŋ
10.16	drop (vb)	
10.17	twist	
10.21	rise	ḳˀáahluu; skʰináŋ
10.22	raise, lift	sáak; istáa
10.23	fall	-ʔwíi; -tahltaa, -taltaŋ, -čuuhltaa
10.24	drip	
10.25	throw	kˀáatˀaa; táaŋ; -kʰwčʰaaŋ; -wistaa
10.252	catch (ball)	kičkíihltaa
10.26	shake	tliitáa; ˁxaaytáa; -yitaa; -yiltaŋ
10.32	flow	
10.33	sink	čʰahḳˀíit
10.34	float	
10.35	swim	
10.351	dive	
10.352	splash	
10.36	sail (vb)	xuḳʰáa
10.37	fly (vb)	xitʰ
10.38	blow	xuskatʰ; tʰačúu
10.41	creep, crawl	tluuʔúŋ
10.412	kneel	
10.413	crouch	
10.42	slide, slip	tˀatlˀahláa
10.43	jump, leap	ˁkatiyáaŋ; -kˀáatˀaa; tˀaskat
10.431	kick	stakʰwtáŋ; -tlˀaa
10.44	dance	xyáahl
10.45	walk	-taal; ḳʰáa; stʰáwčuu
10.451	limp	
10.46	run	ˁkat; xúustaa
10.47	go	ḳʰáayt; háakʰwstaa
10.471	go up	ḳʰahláa
10.472	climb	
10.473	go down	
10.474	go out	ḳʰáakahl
10.48	come	hawíitʰ
10.481	come back	
10.49	go away, depart	táaŋ; ḳʰáayt'; tˀasláa
10.491	disappear	
10.51	flee	án kyaʔáa; ḳʰaˁkat
10.52	follow	salíit
10.53	pursue	
10.55	reach, arrive	ˁkitatlˀaa; ḳʰáatlˀaa; ˁxánčuutlˀaa
10.56	approach	
10.57	enter	ḳʰačʔáa; isčʔáa
10.61	carry (bear)	-kaŋ; tahlkáŋ
10.612	carry-in-hand	
10.613	carry-on-shoulder	skʰyúukaŋ; ún-kaŋ
10.614	carry-on-head	
10.615	carry-underarm	skʰyúuʔat
10.62	bring	
10.63	send	tʰakʰíŋkʰwkaŋ
10.64	lead (vb)	ˁkál ḳʰáa
10.65	drive	skíntaa
10.66	ride	
10.67	push, shove	-ḳˀáa; -ˀwii; -taltaŋ; -tlˀaa
10.71	road	kˀyúu
10.72	path	kˀyúu
10.74	bridge	
10.75	carriage, wagon, cart	čˀak-čˀak
10.76	wheel	
10.77	axle	
10.78	yoke	
10.81	ship	
10.83	boat	tlúu
10.831	canoe	tlúu; ḳʰu tlúu
10.832	outrigger	
10.84	raft	
10.85	oar	
10.851	paddle (noun)	tlúu ḳáa; áal; áalaŋ
10.852	row (vb)	
10.86	rudder	
10.87	mast	
10.88	sail (noun)	
10.89	anchor	tˀáahl; kíi tlˀakáŋ
10.91	harbor, port	ˁkaw
10.92	land (vb)	tlak
11.11	have	taʔáa
11.12	own, possess	tʰataʔáa; taʔáa
11.13	take	-hlaa; istáa; -stˀaa; -kˀaa; xitʰ
11.14	seize, grasp	tlawuláa
11.15	hold	kičkatʰ
11.16	get, obtain	taʔéihl; túu; hálaa
11.17	keep, retain	
11.18	thing	kin; kin ˀwáatluwaan; tlaʔáaw
11.21	give	istáa; kyáa; i-sláa; kíntaa
11.22	give back	
11.24	preserve, look after	
11.25	save, rescue	ḳʰakántaa; ḳˀíitaa
11.27	destroy	
11.28	harm, injure, damage	tlakiyáa; tlakáay
11.31	seek, look for	
11.32	find	ḳʰáyaa
11.33	lose	kúu; kúutaa; tlaḳʰakán
11.34	release, let go	
11.43	money	ḳʰukíin ḳʰuyáas
11.44	coin	táalaa
11.51	rich	íitlˀaaktáa; itlˀkačtáa
11.52	poor	ḳˀaláa
11.53	beggar	
11.54	avaricious, stingy	sˁkíwtʰkaa
11.61	lend	
11.62	borrow	sáltaa
11.63	owe	
11.64	debt	
11.65	pay (vb)	kyáa sˁkáw
11.66	account, reckoning	
11.69	tax, tribute	
11.77	hire	
11.78	wages	
11.79	earn	
11.81	buy	tah
11.82	sell	
11.83	trade, barter	
11.84	merchant	ˀwáataa ˀlaʔáaykaa
11.85	market (place)	
11.86	store, shop	ˀwáataa náay; taʔáaw náay
11.87	price	
11.88	dear (costly, expensive)	
11.89	cheap	naŋáa
11.91	share (distribute)	
11.92	weigh	kˀwíitaa
12.1	after	salíit; tˀáahl
12.11	behind	tˀáahlii, tˀáahl
12.2	beside	kúust
12.3	down, below	ˁxíit; ˁxit-sii, ˁxíit-sii
12.4	before	kʰunáast
12.41	front	ˁxáŋaa
12.5	inside, in	ii; ḳʰáahlii; aa; ˁkáa
12.6	outside	akʰyáa; kʰyáa; akyáasii, kyáasii
12.7	under	ˁxíit; ˁxíit-sii; ˁxitʰkúusii
12.8	up, above	asáa, sáa, saa; asáasii, sáasii
12.11	place	-tˀas; tlak
12.12	put	-slaa; ˁxíitk; istáa; -skat
12.13	sit	ḳˀáw; ḳˀáwaa; -čʰuwaa
12.14	lie down	-ʔaa; -ʔaaw; tíi íhlwutaa; tíitaa; tluutáa
12.15	stand	kyáaʔaŋ
12.16	remain, stay	-skat
12.17	remains, left overs	ḳˀáwat
12.21	collect, gather	
12.212	pick up	
12.213	pile up	ḳʰúlčuutaa
12.22	join, unite	-skat
12.23	separate	
12.232	divide	tlaatíi
12.24	open	
12.25	shut, close	
12.26	cover	ˁkáal
12.27	hide, conceal	skál; sˁkál
12.31	high	
12.32	low	
12.33	top	ún; tlˀaač
12.34	bottom	
12.35	end	
12.352	pointed	kʰun-síi
12.353	edge	tliyáa
12.36	side	tawul
12.37	middle, center	yakʰwsíi
12.41	right (side)	
12.42	left (side)	stlˀáanaa
12.43	near (adv)	ḳˀuhl
12.44	far (adv)	
12.45	east	sáa tlakáast
12.46	west	čʰaakúust
12.47	north	sahkwíi
12.48	south	tˀáakuust
12.53	grow	ináaslaa
