entry_id	trans_english	Toba_Phonemic
7.55	beam	ʔipaḳ (masc.)
7.56	post, pole	ʔipaḳ (masc)
7.57	board	ʔipaḳ (masc)
7.58	arch	--
7.61	mason	lo-sok l-ʔo
7.62	brick	lo-sok
7.63	mortar	n-ʔamn-aʁat
7.64	adobe	lo-sok tok-či-gi
8.11	farmer	--
8.12	field (for cultivation)	l-an-aʁan-ḳaʔ
8.13	garden	l-an-aʁan-ḳaʔ
8.15	cultivate, till	i-ʔad-ot
8.16	fence	[laamde]
8.17	ditch	l-šid-ek
8.21	plow	n-ʔayi-šigem; ya-ḳalagoʁ-oh-ɲi
8.212	furrow	
8.22	dig	n-šiʔ
8.23	spade	šit-eget
8.24	shovel	l-šid-aʁan-aʁat
8.25	hoe	l-met-aʁan-aḳte
8.26	fork	l-ʔad-aʁan-aḳte
8.27	rake	l-kelog-aʁan-aḳte
8.31	sow	y-aa-ɲi
8.311	seed	al-a
8.32	mow, reap	n-ḳat
8.33	sickle, scythe	--
8.34	thresh	n-asola
8.35	threshing-floor	--
8.41	crop, harvest	l-ḳat-aʁan-aʁak
8.42	grain (barley, oats etc)	al-a
8.43	wheat	--
8.44	barley	--
8.45	rye	--
8.46	oats	--
8.47	maize, corn	ʔawaʁa
8.48	rice	--
8.51	grass	ʔawaḳ-pi
8.52	hay	--
8.53	plant (noun)	l-an-gišik
8.531	plant (vb)	y-aa-ɲi
8.54	root	l-paʔaʔ
8.55	branch	l-kowe
8.56	leaf	l-awe
8.57	flower	l-awo-ʁo; l-asowi-aʁa
8.6	tree	ʔipaḳ (fem.)
8.61	oak	--
8.62	beech	--
8.63	birch	--
8.64	pine	--
8.65	fir	--
8.66	acorn	--
8.67	vine	n-šiʔila
8.68	tobacco	l-ašiid-ek
8.69	smoke (tobacco)	y-ašiw
8.691	pipe	l-ašiid-aʁan-aʁaki
8.72	tree stump	l-amo
8.73	tree trunk	l-asot
8.74	forked branch	l-kowe
8.75	bark	l-so
8.76	sap	n-ate
8.81	palm tree	čaik
8.82	coconut	--
8.83	citrus fruit	--
8.84	banana tree	--
8.85	banyan	--
8.91	sweet potato	[wataata]
8.912	yam	--
8.92	tapioca, manioc, cassava	[manǰooka]
8.93	gourd	čimai; ʔapaʁa; ḳaʔapaʁa
8.931	pumpkin, squash	ltaɲi; ʔaadai; lalʸiyaʁai
8.94	bamboo	wataʁat
8.941	sugar cane	[kaaɲa]
8.96	fish poison (root)	šipatoḳ; lpataik
8.97	nettle	wowe poḳo
8.98	mushroom	toʔolʸoʁoi
9.11	do, make	i-ʔot
9.12	work	do-ʔonat-aʁan
9.14	bend	n-amaḳ-čit
9.15	fold	y-iʔ-aʁan
9.16	tie, bind	i-koɲiʔ
9.161	untie	i-so-wek
9.18	chain	[cadeena]
9.19	rope, cord	l-aɲik
9.192	knot (noun)	l-ḳote
9.21	strike (hit, beat)	i-waʁan
9.211	pound with fist	y-asaken
9.22	cut	i-pelek; y-apiat
9.221	cut down	i-kesoḳ-ot
9.222	chop, hew	i-kesoḳ
9.223	stab	i-ʔaǰ-igi
9.23	knife	l-ailon-ek
9.24	scissors, shears	n-kedaleg-aʁat
9.25	ax	n-ḳačipe
9.251	adze	--
9.26	break	i-noʁon
9.261	broken	w-akak
9.27	split	de-poḳo-gi
9.28	tear	i-kolaʁ-at-a-ʔage
9.29	flay, skin	i-kola
9.31	rub, wipe	i-piktee-lek
9.32	stretch	n-alog-aʁat
9.33	pull	n-awek
9.34	spread out	i-pigii-ɲi
9.341	hang up	i-pegen
9.342	press	i-pataḳ
9.343	squeeze, wring	n-lom
9.35	pour	i-koʔ
9.36	wash	i-yo
9.37	sweep	i-kelok
9.38	broom	l-kelog-aʁan-aḳte
9.422	tool	l-ʔonat-aʁan-aʁat
9.43	carpenter	ʔipaḳ l-ʔo
9.44	build	n-ʔoʁoo-šigem
9.46	bore	i-win-eek
9.461	hollow out	n-šiǰ-igi
9.48	saw	n-čig-aʁan-aʁat
9.49	hammer	n-waʁan-aʁan-aḳte
9.5	nail	l-eg-aʁašite
9.56	glue	
9.6	smith, blacksmith	lkat l-ʔo
9.61	forge	--
9.62	anvil	l-waʁan-aʁan-aʁalaʔ
9.63	cast (metals)	--
9.64	gold	--
9.65	silver	--
9.66	copper, bronze	--
9.67	iron	--
9.68	lead (noun)	--
9.69	tin, tinplate	--
9.71	potter	ʔalwa l-ʔo
9.72	mold (clay etc)	--
9.73	clay	ʔalwa
9.74	glass	na č-a-wek
9.75	weave, plait	i-paʁat
9.76	basket	l-paḳt-a
9.77	mat	l-akan-ek
9.771	rug	--
9.78	netbag	l-ḳotaki
9.79	fan (noun)	n-ašiid-aḳte; n-asaw
9.791	fan (vb)	y-ašiid-ot; y-asaw-n-oigi
9.81	carve	--
9.82	sculptor	--
9.83	statue	l-ʔenaḳt-ak
9.84	chisel	--
9.88	paint (noun)	ǰinek
9.89	paint (vb)	i-ʔamee-lek
10.11	move	n-kig-aʁat; i-da-ʁan
10.12	turn over	ḳalagoʁo-ɲi
10.13	turn around	
10.14	wind, wrap	y-aʁat-ege
10.15	roll	i-nan
10.16	drop (vb)	y-it-a-ɲi
10.17	twist	i-win-aʔt
10.21	rise	we-not-šigem
10.22	raise, lift	y-aa-šigem
10.23	fall	w-a-ɲi
10.24	drip	ɲit-ta-ɲi
10.25	throw	y-asaḳ
10.252	catch (ball)	y-akon-get
10.26	shake	i-čigoḳ
10.32	flow	i-paʁan
10.33	sink	i-ǰii-ɲi
10.34	float	d-alʸiki
10.35	swim	d-aloʁon
10.351	dive	wom-ɲi
10.352	splash	n-čikii-šigem
10.36	sail (vb)	--
10.37	fly (vb)	w-ayo
10.38	blow	i-ketet-eek
10.41	creep, crawl	walek; n-ḳapek
10.412	kneel	i-ʔad-ǰi-ɲi na-wa l-lʸikte
10.413	crouch	n-ḳapek
10.42	slide, slip	de-salwi
10.43	jump, leap	padenaʁan
10.431	kick	y-asot
10.44	dance	d-asot
10.45	walk	kewo; pe-ta-ɲi
10.451	limp	w-ayot-ta
10.46	run	n-ḳalgoḳ; čigaḳ-ɲi
10.47	go	he-k
10.471	go up	ki-šigem; t-a-šigem
10.472	climb	wi-šigem
10.473	go down	t-a-ɲi
10.474	go out	t-a-wek
10.48	come	anak
10.481	come back	ɲ-iʔigelaḳ
10.49	go away, depart	t-a-wek
10.491	disappear	pal
10.51	flee	d-ata-wek; ʔ-et
10.52	follow	kaʔat-ege
10.53	pursue	i-kan
10.55	reach, arrive	i-wiʔ; n-wiʔ
10.56	approach	n-kig-ewo
10.57	enter	i-noʁon-ewo; n-noʁon-ewo
10.61	carry (bear)	i-do; n-do
10.612	carry-in-hand	l-asoḳ-ta-ʔa
10.613	carry-on-shoulder	n-alʸag-išin
10.614	carry-on-head	n-ḳaig-išin
10.615	carry-underarm	n-saḳtaki-n; n-čiši-n
10.62	bring	n-do
10.63	send	y-amaḳ; n-amaḳ
10.64	lead (vb)	n-awek
10.65	drive	y-amaikin-gi
10.66	ride	wo-not-šigem
10.67	push, shove	y-amaḳ; n-amaḳ
10.71	road	ḳaʔaik
10.72	path	lʸ-ik
10.74	bridge	pi-aʁalaʔ
10.75	carriage, wagon, cart	n-naigon-a; l-aigon-a
10.76	wheel	l-asaʁanna
10.77	axle	--
10.78	yoke	l-ač-oʁon-aʁalaʔ
10.81	ship	--
10.83	boat	l-lʸikot-a; n-pedaʁanaʁa
10.831	canoe	--
10.832	outrigger	--
10.84	raft	l-malaʔ; l-ato-k
10.85	oar	l-lʸokt-aʁan-aʁat
10.851	paddle (noun)	--
10.852	row (vb)	i-lʸigot; i-lʸogot
10.86	rudder	--
10.87	mast	--
10.88	sail (noun)	--
10.89	anchor	--
10.91	harbor, port	ɲ-ig-aʁasom
10.92	land (vb)	--
11.11	have	woʔo
11.12	own, possess	we-to-ʔot
11.13	take	y-akon-a
11.14	seize, grasp	d-oʁon-aʁan
11.15	hold	l-asoḳ-ta-ʔa
11.16	get, obtain	n-ḳah-ɲi
11.17	keep, retain	l-asoḳ-teg-a
11.18	thing	--
11.21	give	y-an; y-aɲan
