entry_id	trans_english	Albanian,_Tosk_Phonemic
9.341	hang up	var; lʸə'var̃
9.342	press	škelʸ
9.343	squeeze, wring	štrüð; štrə'ngon; ndrüp; ngʸeš
9.35	pour	derð
9.36	wash	lʸan
9.37	sweep	fšin
9.38	broom	'fšesə
9.422	tool	'vegəlʸ
9.43	carpenter	maran'goz; zdrukθə'tar
9.44	build	ndər'ton; go'dit
9.46	bore	bi'ron; bri'mon; špon
9.461	hollow out	zgav'ron; zgor'kon; lʸu'gon
9.48	saw	'šarə
9.49	hammer	če'kič; če'kan
9.5	nail	'goždə
9.56	glue	kʸi'rič; 'ngʸitəse
9.6	smith, blacksmith	farkə'tar; 'kovač
9.61	forge	'farkə
9.62	anvil	'kuðər; kuð
9.63	cast (metals)	derð
9.64	gold	ar
9.65	silver	ar'gʸend; serm
9.66	copper, bronze	'bakər; bronz
9.67	iron	'hekur
9.68	lead (noun)	plʸumb
9.69	tin, tinplate	ka'lay; tene'kʸe
9.71	potter	veg'čar; po'čar; štam'bar; vor'bar
9.72	mold (clay etc)	
9.73	clay	'glʸinə; ka'ištə; delʸ'tinə; ar'gʸilʸə
9.74	glass	kʸelʸkʸ; ǰam
9.75	weave, plait	pər'lið; in'don; end
9.76	basket	'športə; koš
9.77	mat	r̃o'goz; 'hasər
9.771	rug	siǰa'de
9.78	netbag	
9.79	fan (noun)	er'aškə; e'rore
9.791	fan (vb)	hala'dit; pa'hit
9.81	carve	gðend; ska'lʸit
9.82	sculptor	'gðendəs; skulp'tor; dalʸ'tues
9.83	statue	šta'tore; sta'tuyə
9.84	chisel	'dalʸtə
9.88	paint (noun)	'boyə 'ngʸürə
9.89	paint (vb)	boya'tis
10.11	move	lʸə'viz; 'ec̷ən
10.12	turn over	pər'mbüs
10.13	turn around	r̃otu'lon; 'kθehet
10.14	wind, wrap	mbə'štyel
10.15	roll	r̃otu'lon
10.16	drop (vb)	r̃ə'zon; lʸə'šon
10.17	twist	dreð
10.21	rise	'ngrihet
10.22	raise, lift	ngreh
10.23	fall	bie; ra; r̃ə'zohet
10.24	drip	pi'kon
10.25	throw	heð; flʸak
10.252	catch (ball)	kap; zə
10.26	shake	škund; šuk; tund
10.32	flow	r̃yeð; zbraz
10.33	sink	fun'dos; mbüt; 'zdrüpet
10.34	float	plus'kon; flus'kon
10.35	swim	no'ton
10.351	dive	'žütet; 'kriðet
10.352	splash	lapa'šit
10.36	sail (vb)	
10.37	fly (vb)	flʸutu'ron
10.38	blow	frün
10.41	creep, crawl	zva'r̃itet; žar'gohet
10.412	kneel	gʸuɲə'zohet
10.413	crouch	'šuket; 'mblʸiðet
10.42	slide, slip	šket; r̃ə'škʸet
10.43	jump, leap	'hiðet; kər'c̷en
10.431	kick	škelʸ'mon
10.44	dance	kər'c̷en; va'lon
10.45	walk	'ec̷ən; mə'kəmbet
10.451	limp	ča'lʸon
10.46	run	breð; vra'pon; rend
10.47	go	škon; 'vete
10.471	go up	
10.472	climb	'ngʸitet; 'hipən
10.473	go down	zbret
10.474	go out	delʸ
10.48	come	vyen
10.481	come back	'kθehet
10.49	go away, depart	'ikən
10.491	disappear	'šembet; 'žduket
10.51	flee	ar̃a'tiset
10.52	follow	ndyek
10.53	pursue	ndyek; pi'lʸohet
10.55	reach, arrive	a'r̃in
10.56	approach	a'frohet
10.57	enter	hün; 'futet
10.61	carry (bear)	mban; mbart
10.612	carry-in-hand	
10.613	carry-on-shoulder	
10.614	carry-on-head	
10.615	carry-underarm	
10.62	bring	syel; 'bie
10.63	send	dər'gon; čon
10.64	lead (vb)	prin; uðə'hekʸ
10.65	drive	čon; nget
10.66	ride	ka'lʸon
10.67	push, shove	štün
10.71	road	'r̃ugə; 'uðə
10.72	path	šteg; 'uðə; r̃avə
10.74	bridge	'urə
10.75	carriage, wagon, cart	ka'r̃oc̷ə; 'kʸer̃e; 'kar̃o
10.76	wheel	'r̃otə
10.77	axle	aks; bošt
10.78	yoke	'zgʸeðə
10.81	ship	a'niye
10.83	boat	'varkə; 'barkə; 'lundər
10.831	canoe	
