entry_id	trans_english	Yagua_Phonemic
6.46	skirt	saya; hapu-hay
6.461	grass-skirt	kadnuso; n(u)reso
6.48	trousers	mudasuy
6.49	stocking, sock	numutu-suy
6.51	shoe	[sapatu]
6.52	boot	[sapatu]po
6.54	shoemaker, cobbler	[sapatu]hwaɲu
6.55	hat, cap	h(ũ)nõkõ
6.57	belt, girdle	kadnu-hay; -hay
6.58	glove	homutu-suy
6.59	veil	
6.61	pocket	mudasučuwõ
6.62	button	suhači
6.63	pin	roda
6.71	ornament, adornment	danĩweda
6.72	jewel	
6.73	ring (for finger)	hanã-hatu
6.74	bracelet	mãričihe
6.75	necklace	mãriči
6.76	bead	mučarãnũ; mučarãnũsi
6.77	earring	tuwãči
6.78	headband, headdress	parenu nuwi
6.79	tattoo	mõkadahu
6.81	handkerchief, rag	suhaɲẽ; [pãɲĩ]
6.82	towel	mõpũhe
6.91	comb	muniyõ; mũyõ
6.92	brush	
6.921	braid	hča
6.93	razor	[nawayu]
6.94	ointment	nĩdi
6.95	soap	[hawũ]
6.96	mirror	nuwatu
7.11	dwell, live	wiča
7.12	house	rori; wiča-ho
7.13	hut	sũtãy
7.131	garden-house	
7.14	tent	
7.15	yard, court	watapada; watupada
7.16	men's house	
7.17	cookhouse	
7.18	meeting house	mukomuntimura
7.21	room	[kwarto]si
7.22	door, gate	-hũ; rori-hyũ
7.221	doorpost, jamb	rori-hyũday
7.23	lock (noun)	kõtu
7.231	latch, door-bolt	mutanutã
7.24	key	mutatã; [yewyi]
7.25	window	rori-hyude
7.26	floor	rupi-hyo
7.27	wall	puryesara
7.31	fireplace	hiday wičaho
7.32	stove	[kusiɲu]
7.33	chimney	
7.37	ladder	hasumihyo
7.42	bed	mãya
7.421	pillow	tiryõsuy
7.422	blanket	tiryõhay; [kodihay]
7.43	chair	mãsaho
7.44	table	[mĩsa]
7.45	lamp, torch	nõnõpu; nonõda; nõnõsi
7.46	candle	nõnõpu
7.47	shelf	
7.48	trough	tunũnu
7.51	roof	rori
7.52	thatch	
7.53	ridgepole	rũdi
7.54	rafter	mudawũ
7.55	beam	mudawũ
7.56	post, pole	h(u)ntuwũ
7.57	board	hiray
7.58	arch	
7.61	mason	
7.62	brick	rupačadi
7.63	mortar	
7.64	adobe	
8.11	farmer	nuni hwaɲu
8.12	field (for cultivation)	nudi; nuni
8.13	garden	nuni
8.15	cultivate, till	hãsiy
8.16	fence	puryesara
8.17	ditch	
8.21	plow	
8.212	furrow	
8.22	dig	hũmi; dapunu
8.23	spade	sarũ
8.24	shovel	sarũ
8.25	hoe	sarũ
8.26	fork	-kã; niɲu
8.27	rake	tuwatã
8.31	sow	nuta nta
8.311	seed	-si; -tadi
8.32	mow, reap	hato
8.33	sickle, scythe	kamyutuwũ
8.34	thresh	kĩsutya
8.35	threshing-floor	
8.41	crop, harvest	hatosara; hato
8.42	grain (barley, oats etc)	-si
8.43	wheat	
8.44	barley	
8.45	rye	
8.46	oats	[kwake]
8.47	maize, corn	didu; ridu
8.48	rice	[harusi]
8.51	grass	-so; wačuy
8.52	hay	
8.53	plant (noun)	nuta-sara
8.531	plant (vb)	nuta
8.54	root	hũnuti; nuti; nutihyũ
8.55	branch	hi; ti
8.56	leaf	-wĩ; nawĩ
8.57	flower	-bi
8.6	tree	nĩnu
8.61	oak	
8.62	beech	
8.63	birch	
8.64	pine	
8.65	fir	
8.66	acorn	
8.67	vine	murĩhũ; nurĩhũ
8.68	tobacco	sudi
8.69	smoke (tobacco)	saday; suday
8.691	pipe	sudači; [kačĩpu]
8.72	tree stump	hiryu; hiryu-wũ
8.73	tree trunk	-nu
8.74	forked branch	kãtara
8.75	bark	-hay; hiway
8.76	sap	riča
8.81	palm tree	
8.82	coconut	tãtuči; tãtiči
8.83	citrus fruit	nũpihyo
8.84	banana tree	-da
8.85	banyan	
8.91	sweet potato	-si; hatisi; hatusi
8.912	yam	hatisi; hatusi
8.92	tapioca, manioc, cassava	pahi; hasuče; -se
8.93	gourd	sukãy; kuyu
8.931	pumpkin, squash	sukiwũ; kuyu
8.94	bamboo	musa
8.941	sugar cane	sabodu; mučetyudu
8.96	fish poison (root)	tatyũ
8.97	nettle	nupariɲu; hartyĩ
8.98	mushroom	kadihay
9.11	do, make	hiway; hičani
9.12	work	hiwayada
9.14	bend	tãtya; kamya; simya
9.15	fold	murnã
9.16	tie, bind	-puču
9.161	untie	wita; witay
9.18	chain	[kadidyahũ]
9.19	rope, cord	-hũ
9.192	knot (noun)	riwyasi; -ku
9.21	strike (hit, beat)	hũway; hũwatyi
9.211	pound with fist	hũwati homututa
9.22	cut	harũy; hũnsi
9.221	cut down	hnu; hnu-tũy
9.222	chop, hew	hnu; taɲẽ
9.223	stab	hĩčiti
9.23	knife	kiči
9.24	scissors, shears	panta
9.25	ax	hase
9.251	adze	
9.26	break	kantye; pata; wũta; rotya; hota
9.261	broken	pata-sara; kantye-čara; wũta-sara
9.27	split	ruwe; ruwe-nuy
9.28	tear	seta
9.29	flay, skin	kĩsutya
9.31	rub, wipe	hĩwa; hmyunu; minu; pũy
9.32	stretch	ratya; ratye
9.33	pull	tiy
9.34	spread out	ratyawã
9.341	hang up	sõtay; sõtani
9.342	press	mũči
