entry_id	trans_english	Itonama_Phonemic
10.481	come back	yupeleʔna; sikake
10.49	go away, depart	lawahna; makasasna
10.491	disappear	
10.51	flee	yɨhɨyɨhte
10.52	follow	niyasna; kaniyasna
10.53	pursue	yoliʔte; kanihlɨʔna
10.55	reach, arrive	čunahe; tʸasiwɨʔna
10.56	approach	čakasna
10.57	enter	čɨyaʔna; čukuyuhne
10.61	carry (bear)	yukˀohna
10.612	carry-in-hand	
10.613	carry-on-shoulder	čapehe
10.614	carry-on-head	časkapuʔna; časkaduhna
10.615	carry-underarm	
10.62	bring	sukaʔke; sikiʔna
10.63	send	
10.64	lead (vb)	
10.65	drive	
10.66	ride	
10.67	push, shove	čomokˀidoʔtʸe
10.71	road	uhnaskosno
10.72	path	uʔ-wasda
10.74	bridge	
10.75	carriage, wagon, cart	
10.76	wheel	
10.77	axle	
10.78	yoke	
10.81	ship	
10.83	boat	
10.831	canoe	o-koni
10.832	outrigger	
10.84	raft	
10.85	oar	
10.851	paddle (noun)	i-yohda
10.852	row (vb)	kˀoweʔtʸake; wanuʔwe
10.86	rudder	
10.87	mast	
10.88	sail (noun)	
10.89	anchor	
10.91	harbor, port	
10.92	land (vb)	
11.11	have	
11.12	own, possess	isane
11.13	take	iʔpiʔke; yulawahna
11.14	seize, grasp	imohne
11.15	hold	
11.16	get, obtain	madɨne
11.17	keep, retain	
11.18	thing	
11.21	give	i-makɨ
11.22	give back	
11.24	preserve, look after	
11.25	save, rescue	suwakame; suwake
11.27	destroy	
11.28	harm, injure, damage	yayupahɨʔɨhkˀe
11.31	seek, look for	
11.32	find	čadɨne, čadune
11.33	lose	makapowaʔna; čačɨhɨʔna
11.34	release, let go	
11.43	money	
11.44	coin	
11.51	rich	
11.52	poor	
11.53	beggar	
11.54	avaricious, stingy	sičomone; ipiʔna
11.61	lend	
11.62	borrow	
11.63	owe	
11.64	debt	
11.65	pay (vb)	yasnawɨhna
11.66	account, reckoning	
11.69	tax, tribute	
11.77	hire	
11.78	wages	
11.79	earn	
11.81	buy	kˀičuduwaʔna
11.82	sell	makˀiwehe
11.83	trade, barter	
11.84	merchant	
11.85	market (place)	
11.86	store, shop	
11.87	price	ahmičuduwa; ahmičaste
11.88	dear (costly, expensive)	wanamatˀo
11.89	cheap	
11.91	share (distribute)	čostelehna
11.92	weigh	nakˀede
12.1	after	
12.11	behind	
12.2	beside	nɨkaseta
12.3	down, below	ohnikosno
12.4	before	koweʔte
12.41	front	
12.5	inside, in	
12.6	outside	uhwasno
12.7	under	
12.8	up, above	nadɨlɨ(ʔte); načaʔu(ʔte)
12.11	place	uh-daya; uhyudaya
12.12	put	ičɨhna; čutˀohna
12.13	sit	čaʔuʔna; didihte
12.14	lie down	upuʔna; kuspuʔna
12.15	stand	wetaʔna; načoboʔna
12.16	remain, stay	payaʔna; čaniyamaʔna
12.17	remains, left overs	ɨyanɨ
12.21	collect, gather	kamaspohe; kasnikˀibahne
12.212	pick up	
12.213	pile up	yasnaʔɨhna
12.22	join, unite	
12.23	separate	čanikˀahkˀaʔne
12.232	divide	nabahne
12.24	open	itʸɨhne; kamabɨ
12.25	shut, close	kamučoboʔna
12.26	cover	častasne; tʸasumaʔna
12.27	hide, conceal	mapaune; poʔroma
12.31	high	
12.32	low	
12.33	top	uhnakakano; ahmi-yasčanapu
12.34	bottom	
12.35	end	
12.352	pointed	uh-nučačano
12.353	edge	oh-niwakakano; uh-waskanisno
12.36	side	uh-kasno; ahmi-sičukanane
12.37	middle, center	uhčusnano; uhčunano
12.41	right (side)	mokoyowi
12.42	left (side)	
12.43	near (adv)	makapalahna; makahtˀidiʔna
12.44	far (adv)	makabɨsča; uhmakoʔtʸo
12.45	east	
12.46	west	
12.47	north	
12.48	south	
12.53	grow	tilahna
12.54	measure	okˀede; ahmikˀedahča
12.541	span, fathom	
12.55	large, big	ibɨsča; ukahna; kahanaʔna
12.56	small, little	opiʔi; buyuyuʔtʸa
12.57	long	napabɨsča; pabɨsča
12.58	tall	uhwayoʔtʸo; wayubɨsča
12.59	short	wayupalahna
12.61	wide, broad	waʔabɨsča; masbɨsča
12.62	narrow	mas-palahna; waʔ-palahna
12.63	thick (in dimension)	čanasbɨsča; čɨbɨsča
12.65	thin (in dimension)	čanaspalahna; čɨpalahna
12.67	deep	kɨsbɨsča; kɨsčɨbɨsča
12.68	shallow	kɨspalahna; kusčupalahna
12.71	flat	
12.73	straight	sowiʔtʸa
12.74	crooked	
12.75	hook	
12.76	corner	uh-časkakano
12.77	cross	
12.78	square	
12.81	round	wɨrɨrɨʔna
12.82	circle	
12.83	sphere, ball	
12.84	line	
12.85	hole	o-molo
12.92	like, similar	ko-soʔpiʔke; matˀɨʔna
12.93	change	kaheʔna
13.0	zero, nothing	
13.1	one	u-kˀaʔne
13.2	two	...čupa
13.3	three	o-tere
13.4	four	[kuwaturu]
13.5	five	
13.6	six	
13.7	seven	
13.8	eight	
13.9	nine	
13.10	ten	
13.101	eleven	
13.102	twelve	
13.103	fifteen	
13.104	twenty	
13.105	hundred	
13.106	thousand	
13.107	count	yamakˀede
13.14	every, all	oʔsohke; sosohte
13.15	much, many	yaʔbuluʔna; yanaʔoʔte
13.16	more	
13.17	little (quantity), few	wamapiʔi
13.18	enough	
13.181	some	
13.19	multitude, crowd	
13.21	full	čakoʔte; nadalaʔna
13.22	empty	
13.23	part, piece	
13.24	half	ahmi-sičosne
13.33	alone, only	kakˀahte; dahwoʔne
13.34	first	nuwanoʔna
13.35	last	
13.36	second	
13.37	pair	
13.38	two times	
13.42	third	
13.44	three times	tʸɨsawɨ
14.11	time	
14.12	age	ahmi-kˀedahča
14.13	new	u-sawa
14.14	young	o-tˀiya
14.15	old	ibɨsča; matˀohke; ukahna
14.16	early	
14.17	late	waseʔna
14.18	now	hoʔnaha
14.19	immediately	yupočone
14.21	swift, fast, quick	pereherehte
14.22	slow	
14.23	hasten, hurry	pekeweʔte
14.24	retard, delay	mekečele
