entry_id	trans_english	Ese_Ejja_Huarayo_Phonemic
12.27	hide, conceal	taʔa-kwe
12.31	high	kia-ʔao
12.32	low	kia-kepe
12.33	top	e-mato
12.34	bottom	
12.35	end	
12.352	pointed	kia-ʔiwi
12.353	edge	
12.36	side	mihi-xe
12.37	middle, center	mihi-xe
12.41	right (side)	banei-xe
12.42	left (side)	šani-xe
12.43	near (adv)	kia-čii-nee
12.44	far (adv)	kia-weša
12.45	east	
12.46	west	
12.47	north	
12.48	south	
12.53	grow	čii-kwe
12.54	measure	
12.541	span, fathom	
12.55	large, big	kia-ʔao
12.56	small, little	kia-sisi
12.57	long	kia-ʔao
12.58	tall	
12.59	short	kia-kepe
12.61	wide, broad	kia-pone; kia-hepe
12.62	narrow	kia-tobi; posi-posi
12.63	thick (in dimension)	kia-see
12.65	thin (in dimension)	kia-šiwi
12.67	deep	
12.68	shallow	
12.71	flat	
12.73	straight	kia-pi
12.74	crooked	kia-koi; sewiwi
12.75	hook	
12.76	corner	
12.77	cross	
12.78	square	kia-soe
12.81	round	kopo-kopo
12.82	circle	
12.83	sphere, ball	kia-kopo
12.84	line	
12.85	hole	e-wexa
12.92	like, similar	
12.93	change	e-sose-xe kia kwe
13.0	zero, nothing	ča-'ma
13.1	one	owe
13.2	two	biawe; beka
13.3	three	
13.4	four	
13.5	five	e'me
13.6	six	
13.7	seven	
13.8	eight	
13.9	nine	
13.10	ten	
13.101	eleven	
13.102	twelve	
13.103	fifteen	
13.104	twenty	
13.105	hundred	
13.106	thousand	
13.107	count	
13.14	every, all	
13.15	much, many	kia-wiso-nee
13.16	more	
13.17	little (quantity), few	wiso-ʔama
13.18	enough	kia-wiso-nee
13.181	some	
13.19	multitude, crowd	
13.21	full	kia-xexe
13.22	empty	xexe-ʔama
13.23	part, piece	e-mihi
13.24	half	e-sexa
13.33	alone, only	
13.34	first	e-bio-nee
13.35	last	tixe-nee
13.36	second	
13.37	pair	beka
13.38	two times	
13.42	third	
13.44	three times	
14.11	time	
14.12	age	
14.13	new	
14.14	young	dexa šoʔi
14.15	old	e-čii
14.16	early	xia-wa
14.17	late	
14.18	now	xeya-wa
14.19	immediately	
14.21	swift, fast, quick	kwahi-kwahi
14.22	slow	kia-šono
14.23	hasten, hurry	kwahi-kwahi-kwe
14.24	retard, delay	šono-šono-kwe
14.25	begin, beginning	
14.252	last, endure	
14.26	end (temporal)	
14.27	finish	
14.28	cease, stop	
14.29	ready	
14.31	always	
14.32	often	
14.33	sometimes	
14.331	soon	
14.332	long-time (for a)	
14.34	never	
14.35	again	oo-ya
14.41	day	e-poxa
14.42	night	sine-kwa
14.43	dawn	xa-poxa-ti-asi-xe
14.44	morning	meka-wa-xe
14.45	noon, midday	
14.451	afternoon	meka-wa-xe sine-kwa
14.46	evening	meka-wa-xe sine-kwa
14.47	today	
14.48	tomorrow	meka-wa-xe
14.481	day-after-tomorrow	
14.49	yesterday	yawa-ho
14.491	day-before-yesterday	
14.51	hour	
14.53	clock, timepiece	
14.61	week	
14.62	Sunday	
