entry_id	trans_english	Selknam_Phonemic
14.76	summer	ʔelisḳn
14.77	autumn	ḳˀ-è-òmn-ken
14.78	season	hày-ḳn
15.21	smell (vb intrans)	
15.212	sniff	
15.22	smell (vb trans)	ṣ-we
15.25	fragrant, good smelling	sinu
15.26	stinking, bad smelling	wàčè
15.31	taste	m-xà
15.35	sweet	màčè
15.36	salty	
15.37	bitter	čàlxe
15.38	acid, sour	čàlxe
15.39	brackish	
15.41	hear	yo
15.42	listen	yo
15.44	sound, noise	
15.45	loud	ʔom; ṣòʔ
15.46	quiet, silence	čou tawe
15.51	see	ahyḳe
15.52	look, look at	ahyḳe
15.55	show	m-yohrxe
15.56	shine	aypˀèl
15.57	bright	aypˀèl
15.61	color	
15.62	light (in color)	ṣèhkel
15.63	dark (in color)	pˀàr
15.64	white	ṣòʔl
15.65	black	pˀàr
15.66	red	òtè; pòʔtè
15.67	blue	
15.68	green	tˀoh-r; pòʔtè-r
15.69	yellow	tˀoh-l; pòʔtè-l
15.71	touch	en-ḳ šè
15.712	pinch	ʔateʔ
15.72	feel	
15.74	hard	ʔoč eče
15.75	soft	k-làyu
15.76	rough	čou tˀam
15.77	smooth	aypˀèl; ax-ketˀè
