entry_id	trans_english	Breton_Phonemic
11.78	wages	pê; gopr
11.79	earn	gounid arhant
11.81	buy	prenaɲ
11.82	sell	gwerzaɲ
11.83	trade, barter	ober koɲvers
11.84	merchant	marhadour; koɲversant
11.85	market (place)	marhad
11.86	store, shop	stal; koɲvers; magajin
11.87	price	priz
11.88	dear (costly, expensive)	ker
11.89	cheap	marhad-mad
11.91	share (distribute)	rannaɲ
11.92	weigh	pouezaɲ
12.1	after	goude
12.11	behind	a-dreɲv; a-dreg
12.2	beside	e kichenn; e tal
12.3	down, below	en traoɲ; dindan
12.4	before	araog; dirag
12.41	front	dirag
12.5	inside, in	en; ebarz
12.6	outside	er-mêz
12.7	under	dindan
12.8	up, above	a-uz; war; war-benn
12.11	place	plas; leh
12.12	put	lakaad
12.13	sit	azezaɲ; mond en e zoazez
12.14	lie down	gourvezaɲ
12.15	stand	bezaɲ(chom) enn he zao
12.16	remain, stay	chom; gortoz
12.17	remains, left overs	restajou
12.21	collect, gather	dastum
12.212	pick up	dastum diwar an douar
12.213	pile up	berniaɲ
12.22	join, unite	stagaɲ kevred; stagaɲ asamblez; juntraɲ
12.23	separate	dispartiaɲ
12.232	divide	disrannaɲ
12.24	open	digeriɲ; digoriɲ
12.25	shut, close	serriɲ; prennaɲ
12.26	cover	goleiɲ, goloiɲ
12.27	hide, conceal	kuzad; koach
12.31	high	uhel
12.32	low	izel
12.33	top	lein; barr
12.34	bottom	goueled; foɲs
12.35	end	penn
12.352	pointed	begeg; lemm
12.353	edge	bord; kostez
12.36	side	kostez; tu
12.37	middle, center	kreiz
12.41	right (side)	dehou
12.42	left (side)	kleiz
12.43	near (adv)	tost
12.44	far (adv)	pell
12.45	east	reter; sav-heol
12.46	west	kuz-heol
12.47	north	hanternoz; nors
12.48	south	kreisteiz; su
12.53	grow	kreskiɲ
12.54	measure	muzuliaɲ
12.541	span, fathom	gourhed
12.55	large, big	braz
12.56	small, little	bihan
12.57	long	hir
12.58	tall	braz
12.59	short	berr
12.61	wide, broad	ledan
12.62	narrow	striz
12.63	thick (in dimension)	teo
12.65	thin (in dimension)	tano
12.67	deep	don
12.68	shallow	baz
12.71	flat	plad
12.73	straight	eeun
12.74	crooked	kamm; kromm
12.75	hook	krog; bah
12.76	corner	korn; kogn
12.77	cross	kroaz
12.78	square	karre; karrezet
12.81	round	rond
12.82	circle	kelh
12.83	sphere, ball	boull
12.84	line	linenn
12.85	hole	toull
12.92	like, similar	heɲvel
12.93	change	cheɲch; chaɲch
13.0	zero, nothing	zero
13.1	one	unan
13.2	two	daou; diou
13.3	three	tri; teir
13.4	four	pevar; peder
13.5	five	pemp
13.6	six	c’hweh
13.7	seven	seiz
13.8	eight	eiz
13.9	nine	nao
13.10	ten	deg
13.101	eleven	unneg
13.102	twelve	daouzeg
13.103	fifteen	pemzeg
13.104	twenty	ugent
13.105	hundred	kant
13.106	thousand	mil
13.107	count	kontaɲ
13.14	every, all	peb; toud; oll
13.15	much, many	kalz
13.16	more	muioh
13.17	little (quantity), few	nebeud
