entry_id	trans_english	Avestan_Phonemic
12.353	edge	dārā-; karana-
12.36	side	arəða-
12.37	middle, center	maiðya-; maðəma-
12.41	right (side)	dašina-
12.42	left (side)	haoya-; vairyastāra-
12.43	near (adv)	asne
12.44	far (adv)	dūraē
12.45	east	upaošaŋhva-; ušastara-
12.46	west	daošatara-
12.47	north	apāxtara-
12.48	south	paurva-; rapiθwitara-
12.53	grow	varəd-; rud-; uxš-
12.54	measure	mā-
12.541	span, fathom	
12.55	large, big	mazant-; maz-; masan-
12.56	small, little	kasu-
12.57	long	darəga-; mas-
12.58	tall	
12.59	short	mərəzu-
12.61	wide, broad	pərəθu-; paθana-
12.62	narrow	
12.63	thick (in dimension)	
12.65	thin (in dimension)	
12.67	deep	ǰafra-; gufra-
12.68	shallow	
12.71	flat	
12.73	straight	ərəzu-
12.74	crooked	
12.75	hook	anku-; aka-
12.76	corner	
12.77	cross	
12.78	square	čaθru-karana-
12.81	round	skarəna-
12.82	circle	
12.83	sphere, ball	
12.84	line	
12.85	hole	
12.92	like, similar	
12.93	change	
13.0	zero, nothing	
13.1	one	aēva-
13.2	two	
13.3	three	θrāyō
13.4	four	
13.5	five	
13.6	six	
13.7	seven	
13.8	eight	
13.9	nine	
13.10	ten	
13.101	eleven	
13.102	twelve	
13.103	fifteen	
13.104	twenty	
13.105	hundred	
13.106	thousand	
13.107	count	
13.14	every, all	vispa-
13.15	much, many	paru-
13.16	more	frāyah-
13.17	little (quantity), few	kamna-
13.18	enough	
13.181	some	
13.19	multitude, crowd	frə̄ni-
13.21	full	pərəna-
13.22	empty	
13.23	part, piece	baga-; baɣā-
13.24	half	naēma-
13.33	alone, only	aēva-
13.34	first	fratəma-
13.35	last	ustəma-
13.36	second	
13.37	pair	
13.38	two times	
13.42	third	θritya-
13.44	three times	θriš; θrisarəm; āθritīm
14.11	time	zrvan-
14.12	age	āyu-
14.13	new	nava-
14.14	young	yuvan-
14.15	old	hana-
14.16	early	
14.17	late	
14.18	now	nū; nūrəm
14.19	immediately	mošu
14.21	swift, fast, quick	āsu-; aurvant-; θwaša-; xšviwra-
14.22	slow	
14.23	hasten, hurry	ǰav-
14.24	retard, delay	
14.25	begin, beginning	aiwigarəd-; fratauruna-; aiwigati-
14.252	last, endure	
14.26	end (temporal)	θraošti-; θwarəsah-; karana-
14.27	finish	
14.28	cease, stop	
14.29	ready	
14.31	always	
14.32	often	
14.33	sometimes	
14.331	soon	
14.332	long-time (for a)	
14.34	never	
14.35	again	
14.41	day	ayan-; azan-
14.42	night	xšap-
14.43	dawn	ušah-; asūr-
14.44	morning	sūr-
14.45	noon, midday	arəm-piθwā-; rapiθwā-
14.451	afternoon	
14.46	evening	arəzah-
14.47	today	
14.48	tomorrow	
14.481	day-after-tomorrow	
14.49	yesterday	
14.491	day-before-yesterday	
14.51	hour	
14.53	clock, timepiece	
14.61	week	
14.62	Sunday	
14.63	Monday	
14.64	Tuesday	
14.65	Wednesday	
14.66	Thursday	
14.67	Friday	
14.68	Saturday	
14.71	month	māh-
14.73	year	yār-; sarəd-
14.74	winter	zyam-; zaēn-; aiwigāma-
14.75	spring	vaŋhar-; zarəmaya-
14.76	summer	ham-
14.77	autumn	
14.78	season	
15.21	smell (vb intrans)	bud-
15.212	sniff	
15.22	smell (vb trans)	baoði-; ganti-
15.25	fragrant, good smelling	hubaoði-
15.26	stinking, bad smelling	dužganti-; paošišta
15.31	taste	
15.35	sweet	
15.36	salty	
15.37	bitter	
15.38	acid, sour	
15.39	brackish	
15.41	hear	sru-
15.42	listen	gūš-
15.44	sound, noise	
15.45	loud	bərəzant-
15.46	quiet, silence	rāman-
15.51	see	vaēn-; dərəs-
15.52	look, look at	dī-
15.55	show	dis-
15.56	shine	ruč-; brāz-; bā-
15.57	bright	raoxšna-; xšaēta-; bānvant-
15.61	color	gaona-
15.62	light (in color)	
15.63	dark (in color)	axšaēna-
15.64	white	spaēta-; auruša-
15.65	black	sāma-; syāva-
15.66	red	raoiðita-
15.67	blue	
15.68	green	
15.69	yellow	zari-; zairita-
15.71	touch	
15.712	pinch	
15.72	feel	
15.74	hard	xraoždwa-; xruždra-
15.75	soft	varədva-
15.76	rough	
15.77	smooth	
15.78	sharp	taēɣa-; tiži-; tiɣra-
15.79	blunt, dull	
15.81	heavy	gouru-
15.82	light (in weight)	
15.83	wet, damp	napta-
15.84	dry	huška-; hiku-; hišku-
15.85	hot	garəma-
15.851	warm	tapta-
15.86	cold	aota-; sarəta-
15.87	clean	
15.88	dirty, soiled	āhita-
15.89	wrinkled	
16.11	soul, spirit	urvan-; mainyu-
16.15	surprised, astonished	
16.18	good fortune, luck	
16.19	misfortune, bad luck	
16.23	joyful, glad, happy	māyā-; šāiti-; urvāza-; šyāta-
16.25	laugh	
16.251	smile	
16.26	play	
16.27	love	kan-; zaoš-
16.29	kiss	
16.3	embrace	
16.31	pain	axti-; sādra; inti-; āri-
16.32	grief, sorrow, sadness	ašāta-
16.33	anxiety, worry	
16.34	regret, be sorry	
16.35	pity	mərəždika-
16.37	cry, weep	rud-; garəz-
16.38	tear (noun)	asru-
16.39	groan	
16.41	hate	dvaēsah-
16.42	anger	aēšma-; granta-
16.44	envy, jealousy	ərəši-; araska-
16.45	shame (noun)	fšarəma-
16.48	proud	
16.51	dare	
16.52	brave	čirya-; darši-; daršyu-
16.53	fear, fright	θwaēšah-; byah-; taršti-
16.54	danger	iθyaǰah-; θwayaŋha-
16.62	desire, want	iš-
16.622	choose	
16.63	hope	vyaθra-
16.65	faithful	arədra-
16.66	true	haiθya-
16.67	lie, tell lies	druǰ-
16.68	deceit	druǰ-; diwža-
16.69	forgive	mərəždā-; apaharəz-
16.71	good	vaŋhu-; hu-
16.72	bad	aka-; aɣa; avaŋhu-; duš-
16.73	right, correct	ərəšva-
16.74	wrong	
16.76	fault	pāra-
16.77	mistake, error	
16.78	blame	
16.79	praise	gar-; garah-
16.81	beautiful	srīra-; huraoða-; xʷaini-
16.82	ugly	
16.83	greedy	
16.84	clever	
17.11	mind	manah-
17.13	think (= reflect)	man-; čit-
17.14	think (= be of the opinion)	man-
17.15	believe	zrazdā-; var-
17.16	understand	aipi-aot-
17.17	know	vid-; zan-
17.171	guess	
17.172	imitate	
17.18	seem	
17.19	idea, notion	
17.21	wise	mązdra-; dāθa-
17.22	foolish, stupid	adāθa-
17.23	insane, crazy	
17.24	learn	sikš-
17.242	study	
17.25	teach	daxš-; sāh-; čaš-; xsā-; sāčaya-
17.26	pupil	aēθrya-
