entry_id	trans_english	Lakkia_Phonemic
6.75	necklace	mi:n.2
6.76	bead	cau.2
6.77	earring	joŋ.2
6.78	headband, headdress	kjɛ:ŋ.1 pei.2
6.79	tattoo	pei.2
6.81	handkerchief, rag	sa.1
6.82	towel	pu.4 chie.1
6.91	comb	tam.3
6.92	brush	ło:n.5
6.921	braid	chie.1 na:ŋ.4
6.93	razor	thɛm.1
6.94	ointment	nam.5 cu:i.1
6.95	soap	fi:n.5
6.96	mirror	lak.7 ji:m.4
7.11	dwell, live	koŋ.3 la:ŋ.4 kã:p.8
7.12	house	lak.7 ko.3 sen.1
7.13	hut	na:ŋ.4 ai.2 kjã:u.3
7.131	garden-house	na:ŋ cak.7 uk.7
7.14	tent	na:ŋ.4 cak.7 ou.4
7.15	yard, court	naŋ.4 foŋ.3 liŋ.4
7.16	men's house	cun.2
7.17	cookhouse	cun.2 wa:ŋ.2
7.18	meeting house	o.6
7.21	room	khuə.3
7.22	door, gate	ma:t.8
7.221	doorpost, jamb	hjuə.1
7.23	lock (noun)	hjuə.1 pei.2 khja:ŋ.1
7.231	latch, door-bolt	lak.8 na:p.7 hjuə.1
7.24	key	mau.6
7.25	window	cɛm.3 na:ŋ.4
7.26	floor	ma:t.8 mie.2
7.27	wall	pa:u.1.3 kjɛu.1
7.31	fireplace	cɛu.1.3 lai.6
7.32	stove	nɛ:u.4 na:ŋ.4
7.33	chimney	pɛ.4 cin.3
7.37	ladder	lak.7 cuə:ŋ.1 sen.1
7.42	bed	pa:u.1.3 pu:i.5
7.421	pillow	cu.3 ci.3
7.422	blanket	ci:m.6
7.43	chair	wa:n.4
7.44	table	ciŋ.3 cu.1
7.45	lamp, torch	hju:n.1
7.46	candle	ta:i.5 kjə:m.2
7.47	shelf	thɛm.3 sen.1
7.48	trough	ku.3 kjɛ̃.3
7.51	roof	kjɛu.1 kjɛ̃.3
7.52	thatch	mi.3 khjei.1
7.53	ridgepole	khjei.1
7.54	rafter	cho:t.7
7.55	beam	ha.1; pi:n.4
7.56	post, pole	mɛ.4 kjɛu.1
7.57	board	jie:ŋ.4 ka:n.3
7.58	arch	toŋ.4 ciŋ.5
7.61	mason	at.7
7.62	brick	lie:k.8
7.63	mortar	lie:k.8 lak.8
7.64	adobe	lie:ŋ.4 tiŋ.2
8.11	farmer	nam.5 poŋ.2
8.12	field (for cultivation)	tuə:k.8 nhaŋ.1 tiŋ.1
8.13	garden	tuə:k.8 pok.8 cen.1
8.15	cultivate, till	li.1 tha:ŋ.4
8.16	fence	to:m.4
8.17	ditch	to.1; to.1 tiŋ.1
8.21	plow	to.1 khjuŋ.3
8.212	furrow	jak.7
8.22	dig	to.1 sik.7
8.23	spade	jak.7
8.24	shovel	to.1 kjɛ:u.5
8.25	hoe	piŋ.2.4 ti.6
8.26	fork	poŋ.4 tie:ŋ.2
8.27	rake	lo.2, foŋ.3 lo.2
8.31	sow	ŋji:n.1 thoŋ.1
8.311	seed	puŋ.4 kjɛ̃.3
8.32	mow, reap	tɛu.2
8.33	sickle, scythe	khjə:m.3
8.34	thresh	pa:ŋ.5 ci:n.1
8.35	threshing-floor	cu.3 i.3
8.41	crop, harvest	ta:i.2
8.42	grain (barley, oats etc)	taŋ.1
8.43	wheat	la:p.8 cok.7
8.44	barley	nam.5 kja.5
8.45	rye	pun.2 cei.5
8.46	oats	lie:k.8 tik.7
8.47	maize, corn	lie:k.8 ja.2 tik.7
8.48	rice	kja:k.7 ja.2
8.51	grass	wɛ:ŋ.2.4 khjuŋ.3; wɛ:ŋ.2.4 tei.3
8.52	hay	pɛ:n.3 lie:n.2
8.53	plant (noun)	lie:ŋ.2
8.531	plant (vb)	wɛ:ŋ.24 khjuŋ.3
8.54	root	pɛ:n.3
8.55	branch	to.1 kuŋ.3
8.56	leaf	lak.8 ta:m.6 fa:ŋ.1
8.57	flower	cu:n.1
8.6	tree	ka:u.1; ka:u.1 nai.2 sa.1
8.61	oak	cu:n.1 nai.2
8.62	beech	lak.8 coŋ.5 ja.6
8.63	birch	ja.6
8.64	pine	ti.64 a:n.4; ti.64 kjɛ:ŋ.3
8.65	fir	ti.6 wok.8
8.66	acorn	cɛ:ŋ.1 coŋ.5
8.67	vine	kaŋ.3
8.68	tobacco	num.4 fei.1
8.69	smoke (tobacco)	lai.2
8.691	pipe	lai.2 lu:t.8
8.72	tree stump	wɛ:t.7
