entry_id	trans_english	Nung-Ninbei_Phonemic
7.17	cookhouse	tou.1; tou.1 luŋ.1
7.18	meeting house	pek.8 tou.1
7.21	room	an.2 sɔ.3
7.22	door, gate	se.6 tou.1
7.221	doorpost, jamb	ci.2 sɔ.3
7.23	lock (noun)	śɔŋ.6
7.231	latch, door-bolt	tei.6
7.24	key	ciŋ.2
7.25	window	lu.2 fai.2
7.26	floor	kheu.6
7.27	wall	ʔdɔi.2
7.31	fireplace	ʔbon.6
7.32	stove	mon.1 thu.2
7.33	chimney	phɨn.2 tha:n.6
7.37	ladder	taŋ.5 əŋ.2
7.42	bed	coŋ.2
7.421	pillow	taŋ.1
7.422	blanket	la:p.8
7.43	chair	kja.5
7.44	table	ca:u.2
7.45	lamp, torch	cok.7 run.2
7.46	candle	ŋam.2 cok.7 run.2
7.47	shelf	ja.2
7.48	trough	siŋ.6 liŋ.2
7.51	roof	ka:p.7 cei.3
7.52	thatch	liŋ.2
7.53	ridgepole	sa:k.7
7.54	rafter	pen.3
7.55	beam	tou.1 kɨŋ.3
7.56	post, pole	ca:ŋ.6 thən.2
7.57	board	kək.7
7.58	arch	ca:ŋ.5
7.61	mason	kək.7 ʔdəp.7
7.62	brick	na.2
7.63	mortar	rai.6
7.64	adobe	sun.1 phjak.7
8.11	farmer	wo.4 la:n.2
8.12	field (for cultivation)	miŋ.1
8.13	garden	cɔi.1
8.15	cultivate, till	wan.6
8.16	fence	ma:k.8 śa:n.3
8.17	ditch	śa:n.3
8.21	plow	ma:k.8 ʔba:i.2; ʔba:k.8
8.212	furrow	ŋa:m.2 śa.2
8.22	dig	va:n.5 fan.2
8.23	spade	fan.2
8.24	shovel	kwe.3; sau.1
8.25	hoe	ma:k.8 lim.2
8.26	fork	fa:t.8 khau.3
8.27	rake	śa:ŋ.2 fat.8 khau.3
8.31	sow	khau.3 kok.7
8.311	seed	mek.8 min.6
8.32	mow, reap	mek.8 min.6
8.33	sickle, scythe	mek.8 ʔdam.2
8.34	thresh	mek.8 wa.1
8.35	threshing-floor	khau.3 tai.5
8.41	crop, harvest	khau.3
8.42	grain (barley, oats etc)	khau.3 na.2
8.43	wheat	khau.3 khau.2; kja.3
8.44	barley	ram.2
8.45	rye	fiŋ.2
8.46	oats	khau.3 pha:ŋ.3
8.47	maize, corn	ńa.3
8.48	rice	fiŋ.2 ha:u.3
8.51	grass	ko.1 toŋ.1 sai.1
8.52	hay	ʔdam.2
8.53	plant (noun)	kɔk.7
8.531	plant (vb)	kɔn.5 mai.4
8.54	root	ŋa.5 mai.4
8.55	branch	ʔbɔi.2
8.56	leaf	cɔk.8
8.57	flower	wa.1
8.6	tree	mai.4
8.61	oak	mai.4 pek.8
8.62	beech	mai.4 ke.1
8.63	birch	tɔŋ.3 mai.4 eŋ.2
8.64	pine	khau.2
8.65	fir	in.2
8.66	acorn	kən.1; in.2
8.67	vine	ma:k.8 meu.3 tau.2 in.2
8.68	tobacco	kɔn.5 mai.4
8.69	smoke (tobacco)	ka:n.3 mai.4
8.691	pipe	ŋa.5 mai.4
8.72	tree stump	naŋ.1 mai.4
8.73	tree trunk	noŋ.1 mai.4
8.74	forked branch	ma:k.7 ka:m.1
8.75	bark	ma:ŋ.2 ko.3
8.76	sap	ko.1 kui.3
8.81	palm tree	kui.3
8.82	coconut	mai.4 rai.2
8.83	citrus fruit	mai.4
8.84	banana tree	sɨi.2
8.85	banyan	phik.8
8.91	sweet potato	sɨi.2 reu.4
8.912	yam	ʔbau.3
8.92	tapioca, manioc, cassava	kwa.1
8.93	gourd	ra:ŋ.2
8.931	pumpkin, squash	mai.4 t
8.94	bamboo	oi.3
8.941	sugar cane	tɨk.8
8.96	fish poison (root)	cop.7
8.97	nettle	hat.7
8.98	mushroom	hat.7 kɔŋ.1
9.11	do, make	kɔt.8
9.12	work	phɨk.8
9.14	bend	ke.3
9.15	fold	lin.6
9.16	tie, bind	cik.8
9.161	untie	kit.7
9.18	chain	tək.7; tɨp.8; ʔdoi.6
9.19	rope, cord	ʔdoi.6
9.192	knot (noun)	śet.8; kw.3
9.21	strike (hit, beat)	la:u.6 kwən.3
9.211	pound with fist	sap.7
9.22	cut	cɔk.8
9.221	cut down	pia.4
9.222	chop, hew	ta:u.1
9.223	stab	pu.5
9.23	knife	pəŋ.6
9.24	scissors, shears	eu.3
9.25	ax	po.6; pa.6
9.251	adze	pa.6; cak.7
9.26	break	śi.3
9.261	broken	lok.8 naŋ.1; pok.7 naŋ.1
9.27	split	śɨt.7; śu.6 śɨt.7
9.28	tear	śa:t.8
9.29	flay, skin	it.8 rei.2
9.31	rub, wipe	la:k.8; śi.3
9.32	stretch	la:k.8 ok.8
9.33	pull	it.8 khai.2; a.3 khai.2
9.34	spread out	hoi.3; khwen.2
9.341	hang up	ńan.4
9.342	press	can.4; can.3
9.343	squeeze, wring	ʔdəŋ.6
9.35	pour	sui.5
9.36	wash	sɔt.7
9.37	sweep	sɔt.7 pat.7; ńɨŋ.2 pat.7
9.38	broom	ca:ŋ.6 mai.4
9.422	tool	hat.7
9.43	carpenter	cɔk.8 pjuŋ.5
9.44	build	wan.6
9.46	bore	sɔ.5
9.461	hollow out	śɨi.2
9.48	saw	teŋ.1
9.49	hammer	kja:u.5 śɨi.1
9.5	nail	ca:ŋ.6 lek.7
9.56	glue	won.4 lek.7
9.6	smith, blacksmith	ta:u.3
9.61	forge	kɨm.1
9.62	anvil	ŋan.2
9.63	cast (metals)	toŋ.2
9.64	gold	lek.7
9.65	silver	khik.8
9.66	copper, bronze	hat.7 jiŋ.6
9.67	iron	na:m.6
9.68	lead (noun)	kiŋ.5
9.69	tin, tinplate	sa:n.1
9.71	potter	la:m.2
9.72	mold (clay etc)	ʔdɔŋ.3
9.73	clay	fɨk.8
9.74	glass	tai.6 wa:ŋ.5
9.75	weave, plait	wei.2
9.76	basket	wei.2
9.77	mat	khɨt.7
9.771	rug	khɨt.7 jiŋ.6
9.78	netbag	ma:k.8 siu.5
9.79	fan (noun)	śat.7
9.791	fan (vb)	khɨn.3 śat.7
9.81	carve	sa:ŋ.3
9.82	sculptor	pən.3 cin.5
9.83	statue	cin.5 thu.2; cin.5 laŋ.1
9.84	chisel	ʔben.2
9.88	paint (noun)	kwin.3
9.89	paint (vb)	tɔk.7
10.11	move	pan.5; ko.2
10.12	turn over	śəŋ.5 khɨn.3
10.13	turn around	kəŋ.2 khɨn.3
10.14	wind, wrap	tɔk.7 lɔŋ.2
10.15	roll	jak.8
