entry_id	trans_english	Trumai_Phonemic
14.24	retard, delay	(ha) uatɨma
14.25	begin, beginning	napta
14.252	last, endure	
14.26	end (temporal)	inan de
14.27	finish	(ha) pɨreu; uanle
14.28	cease, stop	(ha) laʔtsiʔta
14.29	ready	
14.31	always	kauala
14.32	often	
14.33	sometimes	
14.331	soon	
14.332	long-time (for a)	
14.34	never	
14.35	again	
14.41	day	kuiatan-e
14.42	night	šanixnis
14.43	dawn	xodaka
14.44	morning	xodaka-es
14.45	noon, midday	tamulan
14.451	afternoon	šai; texmu-n
14.46	evening	
14.47	today	
14.48	tomorrow	kodaka-ki
14.481	day-after-tomorrow	
14.49	yesterday	
14.491	day-before-yesterday	
14.51	hour	
14.53	clock, timepiece	
14.61	week	
14.62	Sunday	
14.63	Monday	
14.64	Tuesday	
14.65	Wednesday	
14.66	Thursday	
14.67	Friday	
14.68	Saturday	
14.71	month	
14.73	year	
14.74	winter	
14.75	spring	
14.76	summer	
14.77	autumn	
14.78	season	
15.21	smell (vb intrans)	
15.212	sniff	
15.22	smell (vb trans)	
15.25	fragrant, good smelling	lenxot
15.26	stinking, bad smelling	xotʔno-xotʔnox
15.31	taste	(ha) ma uakpitʔa
15.35	sweet	tsʔaʔ tsʔae
15.36	salty	
15.37	bitter	tsʔaʔ tsʔae tak
15.38	acid, sour	tsi šɨšɨš
15.39	brackish	
15.41	hear	(ha) fatsʔa
15.42	listen	uana fat-xol-a-ik
15.44	sound, noise	
15.45	loud	
15.46	quiet, silence	
15.51	see	(ha) xuʔtsa
15.52	look, look at	
15.55	show	(haits) uaptɨ-ka-n
15.56	shine	omt̯e omt̯e
15.57	bright	
15.61	color	
15.62	light (in color)	tsi-hu kana
15.63	dark (in color)	tsi-hu daʔt̯e
15.64	white	tsi-tore
15.65	black	dat̯, tsi-dat̯
15.66	red	tsi-omat̯
15.67	blue	tsi-auu
15.68	green	ure ure ue nauan šɨ-k
15.69	yellow	tsi-aiixu
15.71	touch	
15.712	pinch	
15.72	feel	(haits) matsi-n
15.74	hard	ataxa, taxa
15.75	soft	arikit-kek; tsʔexe tsʔexe
15.76	rough	
15.77	smooth	(ha) kuš tsʔax-ka
15.78	sharp	
15.79	blunt, dull	
15.81	heavy	tsidatox
15.82	light (in weight)	
15.83	wet, damp	tsi-xexere (?)
15.84	dry	uatɨta; tsʔa tak
15.85	hot	soso
15.851	warm	(ha) apiʔsi
15.86	cold	tsixuʔtsa
15.87	clean	
15.88	dirty, soiled	enɨ enɨ
15.89	wrinkled	(iau) xokdas-as, (iau) pɨtsas-as
16.11	soul, spirit	(iau)-uelekuʔe
16.15	surprised, astonished	
16.18	good fortune, luck	
16.19	misfortune, bad luck	
16.23	joyful, glad, happy	
16.25	laugh	(ha) tɬat
16.251	smile	
16.26	play	dain-e
16.27	love	(ha) puʔdits
16.29	kiss	
16.3	embrace	
16.31	pain	maʔdits
16.32	grief, sorrow, sadness	
16.33	anxiety, worry	
16.34	regret, be sorry	
16.35	pity	
16.37	cry, weep	(ha) uatkan
16.38	tear (noun)	xon su
16.39	groan	
16.41	hate	
