entry_id	trans_english	Chatino,_Zacatepec_Phonemic
9.63	cast (metals)	šla
9.64	gold	čkʷã ['oro]
9.65	silver	čkʷã [pla'ta]
9.66	copper, bronze	čkʷã kaʔa
9.67	iron	čkʷã
9.68	lead (noun)	--
9.69	tin, tinplate	čkʷã [la'ta]
9.71	potter	kʷitʸi kitũʔ
9.72	mold (clay etc)	suʔʷa lo wiyaʔ
9.73	clay	yū tihĩʔ
9.74	glass	['vīdriu]
9.75	weave, plait	kʸāʔ su
9.76	basket	škuwi
9.77	mat	hāʔ
9.771	rug	teʔ kičã
9.78	netbag	kisu
9.79	fan (noun)	kʷiʔĩ
9.791	fan (vb)	kula kʷiʔĩ
9.81	carve	taʔã lkʷĩ (čũʔ) kē
9.82	sculptor	ntẽ nu ndlu lkʷĩ
9.83	statue	lkʷĩ (ndū̃)
9.84	chisel	--
9.88	paint (noun)	tʸaʔã
9.89	paint (vb)	taʔã koʔo tʸaʔā lō
10.11	move	ši-skʷa
10.12	turn over	ši-tiʔĩ tlʸu
10.13	turn around	ši-tiʔĩ
10.14	wind, wrap	čkũʔ kiyaʔ čkũʔ hū̃
10.15	roll	kušī̃; ši-tiʔĩ
10.16	drop (vb)	štʸū
10.17	twist	kʷičĩ; škʷã
10.21	rise	kyā kʷã
10.22	raise, lift	skʷẽ; sa-kʷã
10.23	fall	tiyū; tlʸū
10.24	drip	kic̷u; čkʷaʔ
10.25	throw	kū̃
10.252	catch (ball)	šɲi
10.26	shake	skʷĩ; šɲã
10.32	flow	šnã (tiʔa)
10.33	sink	stẽ lo tiʔa
10.34	float	škʷa lō tiʔa
10.35	swim	skʷa ... tiʔa
10.351	dive	šuʔʷi tukũʔ
10.352	splash	skʷĩ tiʔa; skʷĩ nc̷uʔ
10.36	sail (vb)	tʸaʔã loʔo kalaʔ
10.37	fly (vb)	kʷi
10.38	blow	kʷaʔa kulo toʔo kʷiʔĩ
10.41	creep, crawl	suweʔ niʔ -
10.412	kneel	tʸū̃ štʸĩʔ
10.413	crouch	tʸukʷi ndlʸū
10.42	slide, slip	tʸihĩ kiyaʔ
10.43	jump, leap	tʸoʔo kʷã
10.431	kick	lʸoʔo ʔĩ; lʸoʔo sta
10.44	dance	kulā kiyaʔ
10.45	walk	tʸaʔã
10.451	limp	tʸaʔã ntã ti; ndukʷi ndʸaʔã
10.46	run	šnã
10.47	go	kyā; c̷ā
10.471	go up	kyā kʷã
10.472	climb	skʷẽ
10.473	go down	tiʔʸa; kiʔʸa
10.474	go out	tʸoʔo
10.48	come	kyā̃; hyā̃
10.481	come back	štʸū̃; kyā̃
