entry_id	trans_english	Zhuang-Longzhou_Phonemic
20.61	hunt	tik.7 phiau.5; tik.7 lie:t.8
20.62	shoot	po.6 tik.7 phiau.5
20.63	miss (target)	jiŋ.2; jaŋ.2
20.64	trap (noun)	liu.5
20.65	trap (vb)	kum.2; kio:ŋʔ.4
21.11	law	va:t.7 kio:ŋʔ.4
21.15	court	fa:p.7
21.16	judge (vb)	ŋa.2 mun.2
21.17	judgment	pu:n.5
21.18	judge (noun)	łam.3 pu:n.5
21.21	plaintiff	xun.1 pha:t.8 ta.2 la.2
21.22	defendant	kon.2 ka:u.5po.6 ka:u.5
21.23	witness	to.2 kaiu.5
21.24	swear	mi.2 co:i.6; fa:m.6 fa:p.7
21.25	oath	mi.5 mi.2 co:i.6
21.31	accuse	fa:t.8
21.32	condemn	fa:t.8 ce:n.2
21.33	convict (vb)	la:u.2
21.34	acquit	paɨ.2 kha.3
21.35	guilty	thuŋ.1 ke:n.1
21.36	innocent	kam.6
21.37	penalty, punishment	lak.8
21.38	fine	śɨ:ŋ.3; kɨp.7
21.39	prison, jail	po.6 lak.8; lak.8 ca.3
21.42	murder	ła:m.1 łe:ŋ.1
21.43	adultery	to.2 ma:ŋ.1
21.44	rape	thi:n.1 ta:ŋ.2
21.46	arson	jam.1 ke:n.1
21.47	perjury	fa:p.7; fu.2 fa:p.7
21.51	steal	po.6 mo.1
21.52	thief	łan.2 łi:n.1; łiin; łi:n.1 kia.1
22.11	religion	phi.1
22.12	God	ciu.5 tau.2
22.13	temple, church
22.14	altar
22.15	sacrifice, offering
22.16	worship
22.17	pray
22.18	priest
22.19	holy, sacred
22.22	preach
22.23	bless
22.24	curse
22.26	fast (vb)
22.31	heaven
22.32	hell
22.35	demon (evil spirit)
22.37	idol
22.42	magic, witchcraft, sorcery
22.43	sorcerer, witch
22.44	fairy, elf
22.45	ghost, phantom
22.47	omen, portent
