entry_id	trans_english	Armenian,_Eastern_Phonemic
8.15	cultivate, till	m[ə]šakˀel, herkˀel
8.16	fence	c̷ʰankˀapˀatˀ
8.17	ditch	pʰos
8.21	plow	aror
8.212	furrow	akˀos
8.22	dig	pʰorel
8.23	spade	bah
8.24	shovel	tʰi
8.25	hoe	b[ə]ričʰ, pʰoričʰ
8.26	fork	pʰoc̷ʰx, yeɣan
8.27	rake	tˀ[ə]rmux
8.31	sow	c̷ʰanel
8.311	seed	serm
8.32	mow, reap	kʰaɣel, h[ə]nd͜zel
8.33	sickle, scythe	mangaɣ, gerandi
8.34	thresh	kˀalsel
8.35	threshing-floor	kˀalsaran, kˀalsatˀeɣ
8.41	crop, harvest	berkʰ
8.42	grain (barley, oats etc)	hac̷ʰahatˀikˀ
8.43	wheat	c̷ʰoren
8.44	barley	gari
8.45	rye	hačˀar
8.46	oats	varsakˀ
8.47	maize, corn	yegipˀtˀac̷ʰoren
8.48	rice	brind͜z
8.51	grass	xotˀ
8.52	hay	čʰor xotˀ
8.53	plant (noun)	buys
8.531	plant (vb)	tˀ[ə]nkˀel
8.54	root	armatˀ
8.55	branch	vostˀ, čˀyuɣ
8.56	leaf	tˀerev
8.57	flower	c̷ˀaɣikˀ
8.6	tree	c̷ˀar̃
8.61	oak	kˀaɣni
8.62	beech	hačˀareni
8.63	birch	kˀečʰi
8.64	pine	sočˀi
8.65	fir	yeɣevni
8.66	acorn	kˀaɣni
8.67	vine	vortʰatˀunkˀ, vaz
8.68	tobacco	c̷ˀ[ə]xaxotˀ
8.69	smoke (tobacco)	c̷ˀ[ə]xel
8.691	pipe	c̷ˀ[ə]xamorčˀ
8.72	tree stump	c̷ˀar̃i bun
8.73	tree trunk	c̷ˀar̃i kˀočˀɣ
8.74	forked branch	yerkˀatˀvac̷ˀ čˀyuɣ
8.75	bark	(c̷ˀar̃i) kˀeɣev
8.76	sap	aviš
8.81	palm tree	armaveni
8.82	coconut	h[ə]ndənkˀuyz
8.83	citrus fruit	kˀitˀronazgi pˀ[ə]tˀuɣ
8.84	banana tree	banani c̷ˀar̃, adamatʰuzi c̷ˀar̃
8.85	banyan	h[ə]ndkˀakˀan tʰuz
8.91	sweet potato	--
8.912	yam	xotˀorukˀ
8.92	tapioca, manioc, cassava	--
8.93	gourd	kˀoš, d[ə]dmanotʰ
8.931	pumpkin, squash	d[ə]dum, d[ə]dmakˀ
8.94	bamboo	bambukˀ, h[ə]ndkˀyeɣeg
8.941	sugar cane	šakʰaryeɣeg
8.96	fish poison (root)	--
8.97	nettle	yeɣinǰ
8.98	mushroom	sunkˀ
9.11	do, make	anel
9.12	work	ašxatˀel
9.14	bend	kˀ[ə]r̃ac̷ʰ[ə]nel, c̷ˀ[ə]r̃el, tʰekʰel
9.15	fold	c̷ˀalel
9.16	tie, bind	miac̷ʰ[ə]nel, kˀapˀel, kˀ[ə]c̷ʰel
9.161	untie	kʰandel, ard͜zakˀel
9.18	chain	š[ə]ɣtʰa
9.19	rope, cord	pˀaran, tʰokˀ
9.192	knot (noun)	hanguyc̷ʰ, kˀapˀ
9.21	strike (hit, beat)	zarkˀel, harvac̷ˀel, c̷ˀec̷ˀel
9.211	pound with fist	b[ə]r̃unc̷ʰkʰov harvac̷ˀel
9.22	cut	kˀ[ə]tˀrel
9.221	cut down	kˀ[ə]tˀrel, hatˀel
9.222	chop, hew	kˀ[ə]tˀratˀel, ǰartʰel, kˀotˀorel
9.223	stab	xoc̷ˀel, xoɣxoɣel
9.23	knife	danakˀ
9.24	scissors, shears	m[ə]kˀratˀ
9.25	ax	kˀac̷ʰin
9.251	adze	urag
9.26	break	kˀotˀrel, ǰardel
9.261	broken	kˀotˀrac̷ˀ, ǰard[ə]vac̷ˀ
9.27	split	čˀeɣkʰel
9.28	tear	pˀatˀr̃el
9.29	flay, skin	kʰertʰel, kˀeɣevel, maškˀel
9.31	rub, wipe	š[ə]pʰel, s[ə]rbel
9.32	stretch	d͜z[ə]gel, pˀ[ə]rkˀel
9.33	pull	kʰašel
9.34	spread out	tˀarac̷ˀvel
9.341	hang up	kˀaxel
