entry_id	trans_english	Marquesan_Phonemic
12.16	remain, stay	e tetaí (e tataí)
12.17	remains, left overs	
12.21	collect, gather	
12.212	pick up	
12.213	pile up	
12.22	join, unite	
12.23	separate	
12.232	divide	
12.24	open	
12.25	shut, close	
12.26	cover	
12.27	hide, conceal	naó; e hakana
12.31	high	tiétié (tiketike)
12.32	low	áó
12.33	top	pekia upoko; pió
12.34	bottom	peteo; take; áó
12.35	end	hope; mata; pito; e muamua; e paona
12.352	pointed	keokeo; nihinihi; kanihinihi; kanihi
12.353	edge	e tai' e tai kiínutu
12.36	side	kaokao
12.37	middle, center	vavena; vaéna
12.41	right (side)	kaokao atamai (kaokao íma oko)
12.42	left (side)	kaokao akeake (kaokao íma aéaé)
12.43	near (adv)	taá; í pií; í pataá; tata me
12.44	far (adv)	óa
12.45	east	mata henua; tike ia oumati
12.46	west	kaó ia oumati; í te kaó ia oumati
12.47	north	tiu
12.48	south	tuatoka
12.53	grow	
12.54	measure	
12.541	span, fathom	maó
12.55	large, big	nui; haáípaípa; tiétié (tiketike)
12.56	small, little	iti; momo; hunahuna
12.57	long	
12.58	tall	
12.59	short	poto
12.61	wide, broad	
12.62	narrow	
12.63	thick (in dimension)	
12.65	thin (in dimension)	
12.67	deep	
12.68	shallow	
12.71	flat	pakahakaha; paáhaáha
12.73	straight	
12.74	crooked	
12.75	hook	tiáu
12.76	corner	e taha pokonaha; e pokonaha
12.77	cross	
12.78	square	
12.81	round	kapoípoí; ápoípoí
12.82	circle	e tutu; anavai (e akavai)
12.83	sphere, ball	hue henua; mea kapoípoí
12.84	line	
12.85	hole	
12.92	like, similar	
12.93	change	huí; hoko; huíke
13.0	zero, nothing	
13.1	one	e tahi
13.2	two	e úa
13.3	three	e toú
13.4	four	e fa
13.5	five	e íma
13.6	six	e ono
13.7	seven	e fitu
13.8	eight	e vaú
13.9	nine	e iva
13.10	ten	ónohuú; etahi ónohuú
13.101	eleven	ónohuú e tahi mea ke
13.102	twelve	ónohuú e úa mea ke
13.103	fifteen	ónohuú e íma mea ke
13.104	twenty	tekau; e úa ónohuú
13.105	hundred	e íma tekau; e úa toufa me te tekau
13.106	thousand	e íma áu
13.107	count	
13.14	every, all	énata ke tekao ke
13.15	much, many	nui; mea nui; peéti peéti; manomano; tinitini
13.16	more	
13.17	little (quantity), few	
