entry_id	trans_english	Li_of_Baoding_Phonemic
6.41	cloak	kut́.7
6.411	poncho	cɨ.2 dui.1
6.42	woman's dress	dan.2 łua.3
6.43	coat	com.3 chi:ŋ.1
6.44	shirt	ve:ŋ.3 nom.3; bi:n.2
6.45	collar	ve:ŋ.3
6.46	skirt	ve:ŋ.3 lap.7 ta.2
6.461	grass-skirt	cɨ.2 zoŋ.3 ve:ŋ.3
6.48	trousers	kun.1; ri:n.3
6.49	stocking, sock	khou.3
6.51	shoe	vat.7; khwe.2
6.52	boot	cɨ.2 ko:m.3
6.54	shoemaker, cobbler	chai.3 be.2 vu:k.1 ko:m.3
6.55	hat, cap	ma:u.2; plu:t.7; thau.1 the:t.8
6.57	belt, girdle	do:i.1 kho:n.3 hja.2
6.58	glove	cɨ.2 lo:p.7
6.59	veil	kho:n.3 hja.2
6.61	pocket	chom.3
6.62	button	cɨ.2 niŋ.1
6.63	pin	cɨ.2 lo:p.7 zi:ŋ.2
6.71	ornament, adornment	cɨ.2 lo:p.7 khi:n.1
6.72	jewel	cɨ.2 ki:k.1 zoŋ.3
6.73	ring (for finger)	cɨ.2 ki:u.1
6.74	bracelet	hwi:ŋ.2
6.75	necklace	thak.7 ŋou.1
6.76	bead	kho:n.3 hja.2
6.77	earring	kho:n.3 hja.2
6.78	headband, headdress	te:ŋ.1
6.79	tattoo	te:ŋ.1
6.81	handkerchief, rag	chua.2
6.82	towel	phan.1
6.91	comb	cɨ.2 pha:u.1
6.92	brush	ke:n.1
6.921	braid	ki:ŋ.2; kia.3
6.93	razor	to:ŋ.3
6.94	ointment	ploŋ.3
6.95	soap	ʔeń.2 ploŋ.3
6.96	mirror	ploŋ.3 ro:ŋ.2 tha.2
7.11	dwell, live	foŋ.2; ba:ŋ.1
7.12	house	ko:t.7 ploŋ.3
7.13	hut	to.2
7.131	garden-house	cɨ.2 khaŋ.1
7.14	tent	pha.3 to.2
7.15	yard, court	fiu.2; mui.1 chu:ŋ.2
7.16	men's house	no:ŋ.1 van.1
7.17	cookhouse	gi:ŋ.3, gi:ŋ.3 chom.1
7.18	meeting house	lu.1
7.21	room	pheɨ.1
7.22	door, gate	the:ŋ.2
7.221	doorpost, jamb	cɨ.2 ŋa:n.1 gwou.3
7.23	lock (noun)	ʔei.2
7.231	latch, door-bolt	cho.1
7.24	key	gwei.3; deŋ.2
7.25	window	ci:u.2; ci:k.7
7.26	floor	chou.1
7.27	wall	teɨ.1 ploŋ.3
7.31	fireplace	plom.2 beɨ.1 ploŋ.3
7.32	stove	hja.1
7.33	chimney	tha:n.1 ta:u.3
7.37	ladder	ru:n.1 ploŋ.3
7.42	bed	tha:n.1 ta:u.3
7.421	pillow	be:n.2
7.422	blanket	chai.3 be.2 thai.2; chi:n.1
7.43	chair	cɨ:n.3
7.44	table	thou.3 ka:t.7
7.45	lamp, torch	noŋ.3 phu.2
7.46	candle	ta.2
7.47	shelf	pho.3
7.48	trough	vi:n.2
7.51	roof	ko:p.7
7.52	thatch	ta:i.2
7.53	ridgepole	lai.2
7.54	rafter	tha:n.1 lai.2
7.55	beam	hjut.7
7.56	post, pole	the:u.1
7.57	board	kwa:k.7
7.58	arch	fo:n.2
7.61	mason	fan.1
7.62	brick	khi:u.2
7.63	mortar	li:m.1
7.64	adobe	do.1
8.11	farmer	pok.7 mu:n.3
8.12	field (for cultivation)	fe:ŋ.3
8.13	garden	cɨ.2 lu:k.9
8.15	cultivate, till	tha.2
8.16	fence	mu:n.3
8.17	ditch	gei.1; fan.1
8.21	plow	gom.1
8.212	furrow	ŋwiŋ.3
8.22	dig	kan.3
8.23	spade	ŋwiŋ.3 khaɨ.2
8.24	shovel	koŋ.1 gwa.1
8.25	hoe	gwa.1
8.26	fork	kei.1
8.27	rake	goŋ.3
8.31	sow	kha.1 chai.1
8.311	seed	beɨ.1
8.32	mow, reap	kwɨn.3
8.33	sickle, scythe	che:ŋ.1
8.34	thresh	khɨ:ŋ.2 chai.1
8.35	threshing-floor	kwe:ŋ.3
8.41	crop, harvest	za.1
8.42	grain (barley, oats etc)	ru:t.7; za.1
8.43	wheat	cɨ.2 lo:ŋ.3; beɨ.1 lau.3
8.44	barley	khɨ:ŋ.2 chai.1
8.45	rye	ŋa:m.2 chai.1
8.46	oats	no:ŋ.1 chai.1
8.47	maize, corn	tho:ŋ.1 chai.1
8.48	rice	cɨ.2 ʔjun.2
8.51	grass	cɨ.2 na:n.1
8.52	hay	khɨ:ŋ.2 hwe:k.7
8.53	plant (noun)	hwe:k.7
8.531	plant (vb)	khɨ:ŋ.2 gei.1
