entry_id	trans_english	Serbo-Croatian_Phonemic
10.41	creep, crawl	puziti, gmizati, mileti/ miljeti
10.412	kneel	klečati
10.413	crouch	čučiti
10.42	slide, slip	klizati se
10.43	jump, leap	skočiti
10.431	kick	udariti nogom
10.44	dance	plesati; igrati
10.45	walk	hodati
10.451	limp	šepati
10.46	run	trčati
10.47	go	ići
10.471	go up	popeti se
10.472	climb	popeti se
10.473	go down	sići ~ silaziti, spustiti se
10.474	go out	izaći ~ izlaziti
10.48	come	doći ~ dolaziti
10.481	come back	vratiti se
10.49	go away, depart	otići ~ odlaziti
10.491	disappear	nestati
10.51	flee	b(j)ežati
10.52	follow	slediti/ sljediti; pratiti
10.53	pursue	goniti, juriti
10.55	reach, arrive	stići, prisp(j)eti
10.56	approach	približiti se; prići ~ prilaziti
10.57	enter	ući ~ ulaziti; stupiti u
10.61	carry (bear)	nositi
10.612	carry-in-hand	držati, nositi
10.613	carry-on-shoulder	nositi na ramenu
10.614	carry-on-head	nositi na glavi
10.615	carry-underarm	nositi ispod ruke
10.62	bring	don(ij)eti ~ donositi
10.63	send	(po)slati
10.64	lead (vb)	voditi
10.65	drive	voziti; t(j)erati, goniti
10.66	ride	jahati; voziti se
10.67	push, shove	gurati, turati
10.71	road	put; cesta
10.72	path	staza
10.74	bridge	most
10.75	carriage, wagon, cart	kola; kolica
10.76	wheel	točak, kotač
10.77	axle	osovina; os
10.78	yoke	jaram
10.81	ship	brod; ladja
10.83	boat	čamac; čun
10.831	canoe	[kanu]
10.832	outrigger	čamac s podupornjem; poduporanje za čamac
10.84	raft	splav
10.85	oar	veslo
10.851	paddle (noun)	veslo
10.852	row (vb)	veslati
10.86	rudder	krmilo
10.87	mast	jarbol; katarka
10.88	sail (noun)	jedro
10.89	anchor	sidro, kotva, lenger
10.91	harbor, port	luka
10.92	land (vb)	iskrcati; pristati (uz obalu)
11.11	have	imati
11.12	own, possess	pos(j)edovati
11.13	take	uzeti
11.14	seize, grasp	uhvatiti ~ hvatati; (z)grabiti
11.15	hold	držati
11.16	get, obtain	dobiti, primiti; nabaviti
11.17	keep, retain	zadržati
11.18	thing	stvar; predmet
11.21	give	dati
11.22	give back	vratiti
11.24	preserve, look after	čuvati
11.25	save, rescue	spasti; spasiti; izbaviti
11.27	destroy	uništiti; (po)rušiti, razoriti
11.28	harm, injure, damage	(o)štetiti; (na-)škoditi; povr(ij)editi, (o)zlediti
11.31	seek, look for	tražiti; iskati
11.32	find	naći ~ nalaziti
11.33	lose	(iz)gubiti
11.34	release, let go	pustiti
11.43	money	novac, pare
11.44	coin	novčić
11.51	rich	bogat
11.52	poor	siromašan, ubog; b(ij)edan
11.53	beggar	prosjak
11.54	avaricious, stingy	pohlepan; lakom; škrt
11.61	lend	pozajmiti; posuditi
11.62	borrow	posuditi, pozajmiti, uzajmiti
11.63	owe	dugovati, biti dužan
11.64	debt	dug
11.65	pay (vb)	platiti
11.66	account, reckoning	račun
11.69	tax, tribute	porez, taksa; danak
11.77	hire	(iz)najmiti
11.78	wages	plata/ plaća, zarada
11.79	earn	zaraditi
11.81	buy	kupiti
11.82	sell	prodati
11.83	trade, barter	trgovati
11.84	merchant	trgovac
11.85	market (place)	tržište; trg, pijaca, tržnica, plac
11.86	store, shop	prodavnica, prodavaonica, radnja
11.87	price	c(ij)ena
11.88	dear (costly, expensive)	skup
11.89	cheap	jeftin
11.91	share (distribute)	(po)d(ij)eliti
11.92	weigh	vagati
12.1	after	posl(ij)e, nakon
12.11	behind	pozadi, otraga; iza, za
12.2	beside	pored, kraj, do; kod
12.3	down, below	dole/ dolje; ispod, pod
12.4	before	pr(ij)e
12.41	front	prednja strana; napr(ij)ed; ispred, pred
12.5	inside, in	unutrašnjost; unutra; u
12.6	outside	spoljašnost; spolja; napolje ~ napolju, van ~ vani; spoljni, vanjski; izvan, van
12.7	under	ispod, pod
12.8	up, above	gore; iznad, nad
12.11	place	m(j)esto
12.12	put	staviti, metnuti
12.13	sit	sedeti/ sjediti; s(j)esti
12.14	lie down	ležati; l(ij)eći
12.15	stand	stajati; stati; ustati
12.16	remain, stay	ostati
12.17	remains, left overs	ostatak, ostaci
12.21	collect, gather	sabrati (se), sakupiti (se), skupiti (se)
12.212	pick up	podići
12.213	pile up	(na)slagati
12.22	join, unite	sastaviti (se); spojiti (se); ujediniti (se)
12.23	separate	razdvojiti, odvojiti, rastaviti; razlučiti
12.232	divide	pod(ij)eliti
12.24	open	otvoriti
12.25	shut, close	zatvoriti
12.26	cover	pokriti
12.27	hide, conceal	sakriti
12.31	high	visok
12.32	low	nizak
12.33	top	vrh
12.34	bottom	dno
