entry_id	trans_english	Panare_Phonemic
6.57	belt, girdle	-yɨʔmɨ
6.58	glove	-eɲa-n ye
6.59	veil	--
6.61	pocket	kanowa
6.62	button	yapəh-toʔ
6.63	pin	
6.71	ornament, adornment	
6.72	jewel	--
6.73	ring (for finger)	
6.74	bracelet	
6.75	necklace	ty-apo
6.76	bead	əʔnan
6.77	earring	
6.78	headband, headdress	-yoroko-e
6.79	tattoo	
6.81	handkerchief, rag	
6.82	towel	--
6.91	comb	mankak
6.92	brush	
6.921	braid	
6.93	razor	tansi pok č-ahkə-toʔ
6.94	ointment	t-ahpə-nə-toʔ
6.95	soap	[awon]
6.96	mirror	
7.11	dwell, live	
7.12	house	perʸaka; -yɨwɨk
7.13	hut	perʸaka; -yɨwɨk
7.131	garden-house	
7.14	tent	--
7.15	yard, court	yɨ-pata-n
7.16	men's house	
7.17	cookhouse	
7.18	meeting house	
7.21	room	yɨ-pata-n
7.22	door, gate	nata mukun
7.221	doorpost, jamb	
7.23	lock (noun)	nata muku-toʔ
7.231	latch, door-bolt	--
7.24	key	[yaawe]
7.25	window	y-usəhpə-nə-toʔ
7.26	floor	ano
7.27	wall	
7.31	fireplace	wahto pata-n
7.32	stove	
7.33	chimney	
7.37	ladder	yos-an-toʔ
7.42	bed	tatə; ičik
7.421	pillow	pu-n yapo
7.422	blanket	[kowiiya]
7.43	chair	[siya]
7.44	table	
7.45	lamp, torch	[ərəntəəna]
7.46	candle	--
7.47	shelf	iye, ikityə maika-toʔ
7.48	trough	
7.51	roof	perʸaka yɨ-pu-n
7.52	thatch	osae yan
7.53	ridgepole	perʸaka yɨpun
7.54	rafter	perʸaka nwan
7.55	beam	pehka
7.56	post, pole	
7.57	board	iye
7.58	arch	--
7.61	mason	[semento] maanə-ɲe
7.62	brick	ano
7.63	mortar	[semento]
7.64	adobe	ano maanə-sa
8.11	farmer	
8.12	field (for cultivation)	
8.13	garden	yɨmə
8.15	cultivate, till	--
8.16	fence	y-ankahtə-toʔ
8.17	ditch	
8.21	plow	--
8.212	furrow	--
8.22	dig	ano ka-n
8.23	spade	ano ka-to
8.24	shovel	
8.25	hoe	--
8.26	fork	
8.27	rake	--
8.31	sow	iyahpəka-
8.311	seed	-yahpə
8.32	mow, reap	yamɨ-n
8.33	sickle, scythe	--
8.34	thresh	-apo-
8.35	threshing-floor	y-apo-toʔ
8.41	crop, harvest	arʸɨpɨ; -ntaka
8.42	grain (barley, oats etc)	
8.43	wheat	--
8.44	barley	--
8.45	rye	--
8.46	oats	--
8.47	maize, corn	keʔɲak
8.48	rice	[aaro]
8.51	grass	wanaʔ yɨ-pu-n
8.52	hay	--
8.53	plant (noun)	arʸɨpɨ
8.531	plant (vb)	-aamə-
8.54	root	-yimik
8.55	branch	iye y-apə-n
8.56	leaf	-yan
8.57	flower	-yipin; ehčipipin
8.6	tree	-yo; iye
8.61	oak	--
8.62	beech	--
8.63	birch	--
8.64	pine	--
8.65	fir	--
8.66	acorn	--
8.67	vine	keʔɲatə
8.68	tobacco	kowae
8.69	smoke (tobacco)	
8.691	pipe	
8.72	tree stump	eʔyahpə
8.73	tree trunk	iye
8.74	forked branch	-yapə-
8.75	bark	iye pi-hpə
8.76	sap	iye sɨkun
8.81	palm tree	osae; kuruwa; anka
8.82	coconut	--
8.83	citrus fruit	[maranka]
8.84	banana tree	paare yo
8.85	banyan	--
8.91	sweet potato	čok
8.912	yam	čok
8.92	tapioca, manioc, cassava	uto
8.93	gourd	maraʔ
8.931	pumpkin, squash	kaya ma
8.94	bamboo	tapi; kasanka
8.941	sugar cane	karana
8.96	fish poison (root)	kayin
8.97	nettle	--
8.98	mushroom	
9.11	do, make	-ɨn(-kɨ:-ki)
9.12	work	-amohkayin-(-mɨ)(-mi)
9.14	bend	-oʔmei-; -anoʔ(-pɨ)(-pi)
9.15	fold	-ipityuʔ(-ku)
9.16	tie, bind	-ɨpɨrɨn(-mɨ)(-mi)
9.161	untie	-ɨpɨrɨmɨ-hka-
9.18	chain	amčiri
9.19	rope, cord	awa; warara
9.192	knot (noun)	y-ɨpɨrɨ-n-sa
9.21	strike (hit, beat)	-ɨpuʔmo-
9.211	pound with fist	-ɨpuʔmo-
9.22	cut	-ɨkɨtə-
9.221	cut down	-ama-
9.222	chop, hew	-ama-
9.223	stab	-uwə-
9.23	knife	parae
9.24	scissors, shears	mera
9.25	ax	čihtyə
9.251	adze	
9.26	break	-uwəhkɨtə-; -əhkətə-
9.261	broken	
9.27	split	-ɨpetyaka-
9.28	tear	at-ahka-
9.29	flay, skin	-ihka-
9.31	rub, wipe	-ɨpanawaʔ(-kɨ)(-ki)
9.32	stretch	əsɨkuʔna-
9.33	pull	-amataka-
9.34	spread out	-ayimo-
9.341	hang up	-amaika-
9.342	press	-ɨpiʔ (-ku)
9.343	squeeze, wring	-ɨpiʔ(-ku)
9.35	pour	-ama-
9.36	wash	-ukoka-
9.37	sweep	-eimeiʔ(-ku)(-kui)
9.38	broom	y-eimeih-tyo
9.422	tool	
9.43	carpenter	iye pək mənək
9.44	build	-amaanə-; -ɨmə-
9.46	bore	-ɨpə-
9.461	hollow out	-ahta-ka-
9.48	saw	-ɨkɨtə-
9.49	hammer	[matiya]
9.5	nail	iye y-apəh-toʔ
